ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,pbase
1,1,0.7195348739624023,118,LOCALLY_SOLVED,0.16275054692936236,rwlav,1000.0,rIVR,0.0006169596585443582,0.0002068902173635312,0.0002681146177305749,0.0005965803464819741,0.00019714304335743385,0.0002577266839314233,1.0
1,2,0.13443708419799805,67,LOCALLY_SOLVED,0.1030846948198095,rwlav,1000.0,rIVR,0.0004227646964019005,0.0004865386895290813,0.0004009151765214103,0.0004184065232389386,0.0004621079401357058,0.0003736433885976091,1.0
1,3,0.17798113822937012,82,LOCALLY_SOLVED,0.11662937044970653,rwlav,1000.0,rIVR,0.0004245954890764736,0.0003662487697397854,5.7774615308758825e-5,0.00041672623928021627,0.0003543429313763101,3.5932362131093444e-5,1.0
1,4,0.3137400150299072,157,LOCALLY_SOLVED,0.22245776505250414,rwlav,1000.0,rIVR,0.0004922057449723294,0.0002526427223263905,0.00012219009314073936,0.0004552659189540351,0.00020425969341135097,0.00010582319622379617,1.0
2,1,0.894258975982666,364,LOCALLY_SOLVED,0.4705537100613286,rwlav,1000.0,rIVR,0.00014830652950492684,0.00012019816200448119,0.0001625547377293035,0.00011569769427140722,9.269141255593818e-5,0.0001307137656328315,1.0
2,2,0.5471611022949219,283,LOCALLY_SOLVED,0.37242457053931477,rwlav,1000.0,rIVR,0.00022714178105820437,6.094388117205973e-5,0.00020345236936214484,0.00017793316487467472,1.606175875562417e-5,0.00017767878511450454,1.0
2,3,0.40240907669067383,232,LOCALLY_SOLVED,0.31175159012829035,rwlav,1000.0,rIVR,0.0003130350368367729,0.0001405500598850029,0.00024364009429556077,0.0003033293980414041,0.00010812223892471791,0.00020524718188571662,1.0
2,4,0.4540131092071533,247,LOCALLY_SOLVED,0.31936805655952594,rwlav,1000.0,rIVR,0.00023830836164862035,2.843802046448296e-5,0.00022630427241243645,0.0002188859144537482,7.526875409389766e-6,0.00019437431977652135,1.0
2,5,0.10373210906982422,53,LOCALLY_SOLVED,0.0869453743375461,rwlav,1000.0,rIVR,0.0008907756479119566,0.0006717195271165322,0.0003499728720770534,0.0008852377756322858,0.0006607840496345713,0.00033393299923367074,1.0
3,1,0.592836856842041,191,LOCALLY_SOLVED,0.28222647309572263,rwlav,1000.0,rIVR,0.0003197212884586964,0.00011452470688477767,0.00021337183351621825,0.0002834563234885834,0.00010001452193886087,0.00013134784542545225,1.0
