ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,pbase
1,1,0.08640098571777344,118,OPTIMAL,4.197744091967308,rwlav,100.0,linIVR,100.0
1,1,0.5377860069274902,118,LOCALLY_SOLVED,0.8342008355808577,rwlav,100.0,rIVR,100.0
1,2,0.03246808052062988,67,OPTIMAL,2.442946043302409,rwlav,100.0,linIVR,100.0
1,2,0.11479783058166504,67,LOCALLY_SOLVED,0.47922203882725184,rwlav,100.0,rIVR,100.0
1,3,0.03885388374328613,82,OPTIMAL,2.998144104761334,rwlav,100.0,linIVR,100.0
1,3,0.15525293350219727,82,LOCALLY_SOLVED,0.5963487116231662,rwlav,100.0,rIVR,100.0
1,4,0.1933729648590088,157,OPTIMAL,5.373964973612197,rwlav,100.0,linIVR,100.0
1,4,0.5391910076141357,157,LOCALLY_SOLVED,1.1259308320687105,rwlav,100.0,rIVR,100.0
2,1,0.8594508171081543,364,OPTIMAL,12.42990985747738,rwlav,100.0,linIVR,100.0
2,1,0.8067359924316406,364,LOCALLY_SOLVED,2.602177902773187,rwlav,100.0,rIVR,100.0
2,2,0.5349199771881104,283,OPTIMAL,8.888687763294385,rwlav,100.0,linIVR,100.0
2,2,0.6324360370635986,283,LOCALLY_SOLVED,2.1175718689356637,rwlav,100.0,rIVR,100.0
2,3,0.28237009048461914,232,OPTIMAL,7.124292352052448,rwlav,100.0,linIVR,100.0
2,3,0.6540369987487793,232,LOCALLY_SOLVED,1.675386412475373,rwlav,100.0,rIVR,100.0
2,4,0.40473198890686035,247,OPTIMAL,4.327456546950975,rwlav,100.0,linIVR,100.0
2,4,0.5082080364227295,247,LOCALLY_SOLVED,1.7091071748699107,rwlav,100.0,rIVR,100.0
2,5,0.016702890396118164,53,OPTIMAL,1.862540891625259,rwlav,100.0,linIVR,100.0
2,5,0.09440898895263672,53,LOCALLY_SOLVED,0.3612326202217703,rwlav,100.0,rIVR,100.0
3,1,0.2362380027770996,191,OPTIMAL,6.963545556097025,rwlav,100.0,linIVR,100.0
3,1,0.6877171993255615,191,LOCALLY_SOLVED,1.4076462449934883,rwlav,100.0,rIVR,100.0
3,2,0.11197495460510254,141,OPTIMAL,5.1738780076557855,rwlav,100.0,linIVR,100.0
3,2,0.45597195625305176,141,LOCALLY_SOLVED,1.0260499420977314,rwlav,100.0,rIVR,100.0
3,3,0.2964351177215576,208,OPTIMAL,7.1873740009316185,rwlav,100.0,linIVR,100.0
3,3,0.7948567867279053,208,LOCALLY_SOLVED,1.499714475417285,rwlav,100.0,rIVR,100.0
3,4,0.05130910873413086,79,OPTIMAL,2.9726836317031444,rwlav,100.0,linIVR,100.0
3,4,0.29924702644348145,79,LOCALLY_SOLVED,0.5826386076260821,rwlav,100.0,rIVR,100.0
3,5,0.017288923263549805,44,OPTIMAL,1.713532666954746,rwlav,100.0,linIVR,100.0
3,5,0.1373741626739502,44,LOCALLY_SOLVED,0.3316198752435706,rwlav,100.0,rIVR,100.0
3,6,0.06930112838745117,103,OPTIMAL,3.8642188495214977,rwlav,100.0,linIVR,100.0
3,6,0.21155190467834473,103,LOCALLY_SOLVED,0.7458187522549946,rwlav,100.0,rIVR,100.0
4,1,0.02466893196105957,54,OPTIMAL,1.9489844735804753,rwlav,100.0,linIVR,100.0
4,1,0.16046404838562012,54,LOCALLY_SOLVED,0.3757494139368993,rwlav,100.0,rIVR,100.0
4,2,0.013486146926879883,36,OPTIMAL,1.3256579064170035,rwlav,100.0,linIVR,100.0
4,2,0.08800697326660156,36,LOCALLY_SOLVED,0.2581242111137446,rwlav,100.0,rIVR,100.0
4,3,0.014770984649658203,40,OPTIMAL,1.40521756997689,rwlav,100.0,linIVR,100.0
4,3,0.11362814903259277,40,LOCALLY_SOLVED,0.27250285296369076,rwlav,100.0,rIVR,100.0
4,4,0.16253185272216797,180,OPTIMAL,6.352970600282002,rwlav,100.0,linIVR,100.0
4,4,0.6040329933166504,180,LOCALLY_SOLVED,1.2628655779745708,rwlav,100.0,rIVR,100.0
4,5,0.01865100860595703,45,OPTIMAL,1.638412333708482,rwlav,100.0,linIVR,100.0
4,5,0.16019201278686523,45,LOCALLY_SOLVED,0.31685882474215404,rwlav,100.0,rIVR,100.0
4,6,0.02480602264404297,60,OPTIMAL,1.9941590479673321,rwlav,100.0,linIVR,100.0
4,6,0.14752888679504395,60,LOCALLY_SOLVED,0.3907121369009899,rwlav,100.0,rIVR,100.0
5,1,0.0027709007263183594,12,OPTIMAL,0.4382277517459231,rwlav,100.0,linIVR,100.0
5,1,0.030691146850585938,12,LOCALLY_SOLVED,0.1201539061795505,rwlav,100.0,rIVR,100.0
5,2,0.015946149826049805,40,OPTIMAL,1.4854077233191918,rwlav,100.0,linIVR,100.0
5,2,0.14101696014404297,40,LOCALLY_SOLVED,0.28739550401574826,rwlav,100.0,rIVR,100.0
5,3,0.6700348854064941,317,OPTIMAL,6.581575121316129,rwlav,100.0,linIVR,100.0
5,3,0.885850191116333,317,LOCALLY_SOLVED,2.292106111183089,rwlav,100.0,rIVR,100.0
5,4,0.03032708168029785,65,OPTIMAL,2.3701596116366557,rwlav,100.0,linIVR,100.0
5,4,0.1634969711303711,65,LOCALLY_SOLVED,0.46450925985509783,rwlav,100.0,rIVR,100.0
5,5,0.07531309127807617,104,OPTIMAL,3.71068514607487,rwlav,100.0,linIVR,100.0
5,5,0.21606183052062988,104,LOCALLY_SOLVED,0.7440598450046715,rwlav,100.0,rIVR,100.0
5,6,0.014041900634765625,38,OPTIMAL,1.416396342789765,rwlav,100.0,linIVR,100.0
5,6,0.09816408157348633,38,LOCALLY_SOLVED,0.2816484565827509,rwlav,100.0,rIVR,100.0
5,7,0.02081298828125,48,OPTIMAL,1.8689034023996793,rwlav,100.0,linIVR,100.0
5,7,0.1325840950012207,48,LOCALLY_SOLVED,0.3610286227156974,rwlav,100.0,rIVR,100.0
5,8,0.052327871322631836,84,OPTIMAL,3.009299257175706,rwlav,100.0,linIVR,100.0
5,8,0.2504291534423828,84,LOCALLY_SOLVED,0.582701608916883,rwlav,100.0,rIVR,100.0
6,1,0.2978358268737793,201,OPTIMAL,8.941668526105492,rwlav,100.0,linIVR,100.0
6,1,0.8759620189666748,201,LOCALLY_SOLVED,1.7504163279039509,rwlav,100.0,rIVR,100.0
6,2,0.07180905342102051,89,OPTIMAL,4.2826180771462,rwlav,100.0,linIVR,100.0
6,2,0.3325660228729248,89,LOCALLY_SOLVED,0.8189100306920412,rwlav,100.0,rIVR,100.0
7,1,0.1308760643005371,139,OPTIMAL,5.104799201627432,rwlav,100.0,linIVR,100.0
7,1,0.4857819080352783,139,LOCALLY_SOLVED,1.0654985319734678,rwlav,100.0,rIVR,100.0
7,2,0.08286094665527344,121,OPTIMAL,4.504021668375874,rwlav,100.0,linIVR,100.0
7,2,0.3190579414367676,121,LOCALLY_SOLVED,0.8797211758197019,rwlav,100.0,rIVR,100.0
7,3,0.06184101104736328,107,OPTIMAL,3.9205456733208437,rwlav,100.0,linIVR,100.0
7,3,0.3657259941101074,107,LOCALLY_SOLVED,0.7619298279831604,rwlav,100.0,rIVR,100.0
7,4,0.3655970096588135,358,OPTIMAL,13.00889057580431,rwlav,100.0,linIVR,100.0
7,4,2.0378289222717285,358,LOCALLY_SOLVED,2.7712901004796247,rwlav,100.0,rIVR,100.0
7,5,0.07985281944274902,127,OPTIMAL,4.843310284520907,rwlav,100.0,linIVR,100.0
7,5,0.31370091438293457,127,LOCALLY_SOLVED,0.9269020740555115,rwlav,100.0,rIVR,100.0
7,6,0.012073993682861328,29,OPTIMAL,1.8787069602049613,rwlav,100.0,linIVR,100.0
7,6,0.09316420555114746,29,LOCALLY_SOLVED,0.3704964931669306,rwlav,100.0,rIVR,100.0
7,7,0.017102956771850586,39,OPTIMAL,1.7938334435995607,rwlav,100.0,linIVR,100.0
7,7,0.07588887214660645,39,LOCALLY_SOLVED,0.34631890866774284,rwlav,100.0,rIVR,100.0
9,1,0.16595005989074707,172,OPTIMAL,6.571249967289877,rwlav,100.0,linIVR,100.0
9,1,0.4038519859313965,172,LOCALLY_SOLVED,1.2774481830251745,rwlav,100.0,rIVR,100.0
9,2,0.009579896926879883,25,OPTIMAL,1.7253191388532234,rwlav,100.0,linIVR,100.0
9,2,0.06957888603210449,25,LOCALLY_SOLVED,0.33120030105830395,rwlav,100.0,rIVR,100.0
9,3,0.009023904800415039,24,OPTIMAL,1.6472208320994095,rwlav,100.0,linIVR,100.0
9,3,0.06624102592468262,24,LOCALLY_SOLVED,0.3164214190980558,rwlav,100.0,rIVR,100.0
9,4,0.009101152420043945,25,OPTIMAL,1.7251996726553989,rwlav,100.0,linIVR,100.0
9,4,0.06871509552001953,25,LOCALLY_SOLVED,0.3311962616635616,rwlav,100.0,rIVR,100.0
9,5,0.41314697265625,252,OPTIMAL,9.105207942570814,rwlav,100.0,linIVR,100.0
9,5,0.6271469593048096,252,LOCALLY_SOLVED,1.8520560616865982,rwlav,100.0,rIVR,100.0
9,6,0.00957798957824707,27,OPTIMAL,1.8030285563672805,rwlav,100.0,linIVR,100.0
9,6,0.07123398780822754,27,LOCALLY_SOLVED,0.34598240167579836,rwlav,100.0,rIVR,100.0
10,1,0.012724161148071289,30,OPTIMAL,1.7259332776922351,rwlav,100.0,linIVR,100.0
10,1,0.07516121864318848,30,LOCALLY_SOLVED,0.33130952368039374,rwlav,100.0,rIVR,100.0
10,2,0.003659963607788086,16,OPTIMAL,0.5161272240967808,rwlav,100.0,linIVR,100.0
10,2,0.040184974670410156,16,LOCALLY_SOLVED,0.13494721202985266,rwlav,100.0,rIVR,100.0
10,3,0.012841939926147461,46,OPTIMAL,1.2513700554469245,rwlav,100.0,linIVR,100.0
10,3,0.11732602119445801,46,LOCALLY_SOLVED,0.24280327795943638,rwlav,100.0,rIVR,100.0
10,4,0.005334138870239258,23,OPTIMAL,0.6707752967497338,rwlav,100.0,linIVR,100.0
10,4,0.060231924057006836,23,LOCALLY_SOLVED,0.1633000298027218,rwlav,100.0,rIVR,100.0
10,5,0.0069370269775390625,24,OPTIMAL,0.9533653539723146,rwlav,100.0,linIVR,100.0
10,5,0.05564999580383301,24,LOCALLY_SOLVED,0.19329302684090993,rwlav,100.0,rIVR,100.0
10,6,0.003928184509277344,19,OPTIMAL,0.5435489838669301,rwlav,100.0,linIVR,100.0
10,6,0.04327893257141113,19,LOCALLY_SOLVED,0.163332310723948,rwlav,100.0,rIVR,100.0
11,1,0.019761085510253906,42,OPTIMAL,2.492526223732131,rwlav,100.0,linIVR,100.0
11,1,0.0865018367767334,42,LOCALLY_SOLVED,0.4792027270813881,rwlav,100.0,rIVR,100.0
11,2,0.0024709701538085938,10,OPTIMAL,0.38800946087884114,rwlav,100.0,linIVR,100.0
11,2,0.02492809295654297,10,LOCALLY_SOLVED,0.1342316896259728,rwlav,100.0,rIVR,100.0
11,3,0.028985023498535156,65,OPTIMAL,2.60920657339194,rwlav,100.0,linIVR,100.0
11,3,0.1720259189605713,65,LOCALLY_SOLVED,0.509359084660433,rwlav,100.0,rIVR,100.0
11,4,0.08347678184509277,114,OPTIMAL,4.775787371689436,rwlav,100.0,linIVR,100.0
11,4,0.3364138603210449,114,LOCALLY_SOLVED,0.9212282814659613,rwlav,100.0,rIVR,100.0
11,5,0.14716291427612305,157,OPTIMAL,6.320262889259208,rwlav,100.0,linIVR,100.0
11,5,0.5536820888519287,157,LOCALLY_SOLVED,1.2886573203006082,rwlav,100.0,rIVR,100.0
12,1,0.5324859619140625,247,OPTIMAL,9.648147326499094,rwlav,100.0,linIVR,100.0
12,1,1.1088230609893799,247,LOCALLY_SOLVED,2.327230256235906,rwlav,100.0,rIVR,100.0
12,2,0.18080496788024902,167,OPTIMAL,6.318039312559549,rwlav,100.0,linIVR,100.0
12,2,0.6333680152893066,167,LOCALLY_SOLVED,1.2472162926312271,rwlav,100.0,rIVR,100.0
12,3,0.21927595138549805,153,OPTIMAL,6.80046221489983,rwlav,100.0,linIVR,100.0
12,3,0.5209379196166992,153,LOCALLY_SOLVED,1.1413556876856914,rwlav,100.0,rIVR,100.0
13,1,0.05283498764038086,89,OPTIMAL,3.5653663805812252,rwlav,100.0,linIVR,100.0
13,1,0.3122670650482178,89,LOCALLY_SOLVED,0.7023512101651386,rwlav,100.0,rIVR,100.0
13,2,0.04360795021057129,82,OPTIMAL,2.953177098560452,rwlav,100.0,linIVR,100.0
13,2,0.2719550132751465,82,LOCALLY_SOLVED,0.5679226083651961,rwlav,100.0,rIVR,100.0
13,3,0.0019829273223876953,10,OPTIMAL,0.3388787691299348,rwlav,100.0,linIVR,100.0
13,3,0.0255129337310791,10,LOCALLY_SOLVED,0.14821744495271905,rwlav,100.0,rIVR,100.0
13,4,0.1479048728942871,182,OPTIMAL,7.062960678608446,rwlav,100.0,linIVR,100.0
13,4,1.2087290287017822,182,LOCALLY_SOLVED,110.81052814268891,rwlav,100.0,rIVR,100.0
15,1,0.15076303482055664,167,OPTIMAL,5.775486401871926,rwlav,100.0,linIVR,100.0
15,1,0.5928421020507812,167,LOCALLY_SOLVED,1.156424500890708,rwlav,100.0,rIVR,100.0
15,2,0.22514891624450684,200,OPTIMAL,8.049285095669447,rwlav,100.0,linIVR,100.0
15,2,0.8835330009460449,200,LOCALLY_SOLVED,1.6039395441180606,rwlav,100.0,rIVR,100.0
15,3,0.767650842666626,306,OPTIMAL,10.279728952184142,rwlav,100.0,linIVR,100.0
15,3,1.2493610382080078,306,LOCALLY_SOLVED,2.5173030327908212,rwlav,100.0,rIVR,100.0
15,4,0.5013551712036133,260,OPTIMAL,9.959323688031787,rwlav,100.0,linIVR,100.0
15,4,1.2734050750732422,260,LOCALLY_SOLVED,2.0567441082966305,rwlav,100.0,rIVR,100.0
15,5,0.019142866134643555,49,OPTIMAL,1.867865668089646,rwlav,100.0,linIVR,100.0
15,5,0.1349928379058838,49,LOCALLY_SOLVED,0.3617332507860186,rwlav,100.0,rIVR,100.0
15,6,0.08129692077636719,120,OPTIMAL,5.270222448877644,rwlav,100.0,linIVR,100.0
15,6,0.3957960605621338,120,LOCALLY_SOLVED,1.0260373233780782,rwlav,100.0,rIVR,100.0
15,7,0.051429033279418945,100,OPTIMAL,4.230286191295632,rwlav,100.0,linIVR,100.0
15,7,0.4585590362548828,100,LOCALLY_SOLVED,0.8196643295274987,rwlav,100.0,rIVR,100.0
16,1,0.04103899002075195,76,OPTIMAL,3.0465533146024684,rwlav,100.0,linIVR,100.0
16,1,0.14050698280334473,76,LOCALLY_SOLVED,0.5628973513206836,rwlav,100.0,rIVR,100.0
16,2,0.13284683227539062,150,OPTIMAL,5.633903853488198,rwlav,100.0,linIVR,100.0
16,2,0.351377010345459,150,LOCALLY_SOLVED,1.0988476555362106,rwlav,100.0,rIVR,100.0
16,3,0.11560988426208496,142,OPTIMAL,5.162999406408481,rwlav,100.0,linIVR,100.0
16,3,0.4660210609436035,142,LOCALLY_SOLVED,1.0244447338013511,rwlav,100.0,rIVR,100.0
16,4,0.08686208724975586,127,OPTIMAL,4.414897703417733,rwlav,100.0,linIVR,100.0
16,4,0.2519710063934326,127,LOCALLY_SOLVED,0.8785622122791348,rwlav,100.0,rIVR,100.0
17,1,0.7533020973205566,378,OPTIMAL,10.37766272800662,rwlav,100.0,linIVR,100.0
17,1,1.0170528888702393,378,LOCALLY_SOLVED,2.794891352622064,rwlav,100.0,rIVR,100.0
17,2,0.004502058029174805,19,OPTIMAL,0.7216425968575724,rwlav,100.0,linIVR,100.0
17,2,0.03704190254211426,19,LOCALLY_SOLVED,0.14899766840690326,rwlav,100.0,rIVR,100.0
17,3,0.1250619888305664,157,OPTIMAL,5.594134568827163,rwlav,100.0,linIVR,100.0
17,3,0.32986998558044434,157,LOCALLY_SOLVED,1.1735798549560301,rwlav,100.0,rIVR,100.0
17,4,0.23566913604736328,215,OPTIMAL,7.4087037440874886,rwlav,100.0,linIVR,100.0
17,4,0.5835850238800049,215,LOCALLY_SOLVED,1.587062616874184,rwlav,100.0,rIVR,100.0
17,5,0.5565230846405029,316,OPTIMAL,11.555065411313981,rwlav,100.0,linIVR,100.0
17,5,1.013909101486206,316,LOCALLY_SOLVED,2.3684405491769223,rwlav,100.0,rIVR,100.0
17,6,0.29293203353881836,438,OPTIMAL,15.744278078985552,rwlav,100.0,linIVR,100.0
17,6,1.167344093322754,438,LOCALLY_SOLVED,3.311378584984004,rwlav,100.0,rIVR,100.0
17,7,0.26278114318847656,221,OPTIMAL,5.779755553799341,rwlav,100.0,linIVR,100.0
17,7,0.4885830879211426,221,LOCALLY_SOLVED,1.8022730727321823,rwlav,100.0,rIVR,100.0
