ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,0.08892297744750977,118,OPTIMAL,105.91393325546241,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004109743142223676,0.003241306886338596,1
1,2,0.0218660831451416,67,OPTIMAL,69.87623496119565,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004094147875168153,0.003189401305458454,1
1,3,0.0432279109954834,82,OPTIMAL,79.75251294834466,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004098484266720659,0.003272020622786727,1
1,4,0.13376712799072266,157,OPTIMAL,135.88245969427282,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004095469695267306,0.0032519224085194825,1
2,1,0.3378469944000244,364,OPTIMAL,286.5967596951467,rwlav,100.0,LD3F,gurobi,1.0e-5,0.0041109883220404875,0.0032800623231629407,1
2,2,0.33474206924438477,283,OPTIMAL,236.0877854600689,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004120105702854593,0.0032574511427879804,1
2,3,0.1950540542602539,232,OPTIMAL,190.60133765403657,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004113119643379015,0.003259183194776554,1
2,4,0.20447993278503418,247,OPTIMAL,192.3652367182022,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004162652413877366,0.003281785718063724,1
2,5,0.015805959701538086,53,OPTIMAL,57.900623587517366,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004092897206460222,0.0032405926582694364,1
3,1,0.16689300537109375,191,OPTIMAL,163.34306123449227,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004142909444954768,0.0032637420024795682,1
3,2,0.09653997421264648,141,OPTIMAL,125.78998780272036,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004160488244931537,0.003256745557564707,1
3,3,0.20018601417541504,208,OPTIMAL,174.29068116953488,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004308996990136871,0.0032903746322537463,1
3,4,0.04379701614379883,79,OPTIMAL,80.43511262128064,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004161685802865689,0.0032163321962615644,1
3,5,0.018069028854370117,44,OPTIMAL,53.823107305122996,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004114996078969035,0.003253525244260872,1
3,6,0.06708097457885742,103,OPTIMAL,98.83513123340713,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004099125684438487,0.0032254360492172257,1
4,1,0.020479202270507812,54,OPTIMAL,58.50196286651568,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004104719255340505,0.0032195112110665366,1
4,2,0.0133209228515625,36,OPTIMAL,47.22984802114057,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004092031418155395,0.0031333991145773214,1
4,3,0.012280941009521484,40,OPTIMAL,48.92515900124478,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004615546984275021,0.0032127248753711923,1
4,4,0.15474295616149902,180,OPTIMAL,149.86300295790778,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004092884963378118,0.0032641941637244717,1
4,5,0.01691889762878418,45,OPTIMAL,54.375718556513846,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004099324685567174,0.0031280007818681667,1
4,6,0.02356410026550293,60,OPTIMAL,60.6982946446402,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004092447293599921,0.0031976388565366585,1
5,1,0.002382040023803711,12,OPTIMAL,30.916436230821887,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004090986162399002,0.0028277029912220056,1
5,2,0.015637874603271484,40,OPTIMAL,52.05787905766587,rwlav,100.0,LD3F,gurobi,1.0e-5,0.0040912883235479924,0.00313741056793935,1
5,3,0.3084690570831299,317,OPTIMAL,253.55763055575372,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004199697655701717,0.0032940120116689594,1
5,4,0.02407097816467285,65,OPTIMAL,68.59856990830619,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004093399060821401,0.00318678026924468,1
5,5,0.06300592422485352,104,OPTIMAL,96.40678868172922,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004107784189204322,0.0032169823147663625,1
5,6,0.01337289810180664,38,OPTIMAL,49.480541224159005,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004102653413902035,0.0031419126488171608,1
5,7,0.018548011779785156,48,OPTIMAL,58.02611414064323,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004092673168692329,0.0031694129940291107,1
5,8,0.04409003257751465,84,OPTIMAL,81.14423661942311,rwlav,100.0,LD3F,gurobi,1.0e-5,0.00412417403759191,0.003214976630958445,1
6,1,0.2205798625946045,201,OPTIMAL,197.56513880011025,rwlav,100.0,LD3F,gurobi,1.0e-5,0.0042092459547309335,0.0032832560941984936,1
6,2,0.05125999450683594,89,OPTIMAL,104.48319415432822,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004178125431602897,0.003227787252459979,1
7,1,0.09210920333862305,139,OPTIMAL,127.36914918532923,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004121812382173573,0.00328627283899856,1
7,2,0.08048200607299805,121,OPTIMAL,110.08674943095177,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004101185389403961,0.003237985734680637,1
7,3,0.05877113342285156,107,OPTIMAL,100.03413612623403,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004400171574716616,0.0032315502151712638,1
7,4,0.5245459079742432,358,OPTIMAL,305.43372603319057,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004312486581905084,0.0032788363288631397,1
7,5,0.06604790687561035,127,OPTIMAL,118.57329320996912,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004106750647549173,0.0032336806146126755,1
7,6,0.010998010635375977,29,OPTIMAL,57.74878559459192,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004242943657499443,0.0032242547157446595,1
7,7,0.014896869659423828,39,OPTIMAL,55.94521729243091,rwlav,100.0,LD3F,gurobi,1.0e-5,0.00409113796524796,0.0032698326940142014,1
9,1,0.12990307807922363,172,OPTIMAL,150.25030758876653,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004328487539654091,0.003269477821199226,1
9,2,0.007873058319091797,25,OPTIMAL,53.882607072986886,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004178545494872399,0.0032082068864110447,1
9,3,0.006976127624511719,24,OPTIMAL,52.43409141934089,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004178916102124841,0.0032044733173052587,1
9,4,0.008219003677368164,25,OPTIMAL,53.86348704514419,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004177975803031142,0.0032087084979351694,1
9,5,0.26882219314575195,252,OPTIMAL,207.92405391500137,rwlav,100.0,LD3F,gurobi,1.0e-5,0.0041667849249587,0.003275523442485542,1
9,6,0.009002923965454102,27,OPTIMAL,55.46398911143622,rwlav,100.0,LD3F,gurobi,1.0e-5,0.0040927412110367545,0.0031515000733717147,1
10,1,0.010776042938232422,30,OPTIMAL,54.49714738137677,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004196713397391472,0.0030670320321670866,1
10,2,0.0033638477325439453,16,OPTIMAL,39.78203013970824,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004090986162399002,0.0024383505780238893,1
10,3,0.012486934661865234,46,OPTIMAL,43.21815565479835,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004125995827855222,0.0031116776319775356,1
10,4,0.006102085113525391,23,OPTIMAL,34.58453341768248,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004091168315426774,0.0028004582410122232,1
10,5,0.00693511962890625,24,OPTIMAL,37.869394484074164,rwlav,100.0,LD3F,gurobi,1.0e-5,0.0041041994806882975,0.002959883311953415,1
10,6,0.0038940906524658203,19,OPTIMAL,31.91406418490557,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004098480555312145,0.0028822586229512617,1
11,1,0.014377117156982422,42,OPTIMAL,67.70256242076371,rwlav,100.0,LD3F,gurobi,1.0e-5,0.004161717075546356,0.0032679604776559026,1
