form,resc,crit,nobd_obj,nobd_conv,bd_obj,bd_conv,power_base
acr,1,rwls,55.36011971477207,LOCALLY_SOLVED,2864.1468573956304,LOCALLY_SOLVED,100.0
acp,1,rwls,55.360661600322125,LOCALLY_SOLVED,2864.146854805415,LOCALLY_SOLVED,100.0
ivr,1,rwls,55.360404611349765,LOCALLY_SOLVED,2864.1468555384213,LOCALLY_SOLVED,100.0
acr,1,wlav,128.59053872070388,LOCALLY_SOLVED,370.5016010030162,LOCALLY_SOLVED,100.0
acp,1,wlav,128.1244049662782,LOCALLY_SOLVED,370.77345881337186,LOCALLY_SOLVED,100.0
ivr,1,wlav,272.0194238351166,LOCALLY_SOLVED,370.40472128275036,LOCALLY_SOLVED,100.0
acr,1,rwlav,127.50629987434758,LOCALLY_SOLVED,369.9970530894916,LOCALLY_SOLVED,100.0
acp,1,rwlav,127.50644708950067,LOCALLY_SOLVED,369.9972188565933,LOCALLY_SOLVED,100.0
ivr,1,rwlav,127.50629970311006,LOCALLY_SOLVED,369.9970530776328,LOCALLY_SOLVED,100.0
acr,1,wls,45.358768275793885,LOCALLY_SOLVED,0.00018331127930971343,LOCALLY_SOLVED,100.0
acp,1,wls,0.0001771584921616726,LOCALLY_SOLVED,5449.588042451849,NUMERICAL_ERROR,100.0
ivr,1,wls,46.565644878352686,LOCALLY_SOLVED,0.00018187263806495143,LOCALLY_SOLVED,100.0
acr,10,rwls,0.5541520114320563,LOCALLY_SOLVED,28.641984029471686,LOCALLY_SOLVED,100.0
acp,10,rwls,0.5541524316625357,LOCALLY_SOLVED,28.641984443630392,LOCALLY_SOLVED,100.0
ivr,10,rwls,0.5541520114432396,LOCALLY_SOLVED,28.64172020108691,LOCALLY_SOLVED,100.0
acr,10,wlav,19.498149884394156,LOCALLY_SOLVED,37.01584609448667,LOCALLY_SOLVED,100.0
acp,10,wlav,26.226814058993416,LOCALLY_SOLVED,37.050370812735565,LOCALLY_SOLVED,100.0
ivr,10,wlav,12.813187925316656,LOCALLY_SOLVED,37.0158372332174,LOCALLY_SOLVED,100.0
acr,10,rwlav,12.75129758329765,LOCALLY_SOLVED,37.00039261823438,LOCALLY_SOLVED,100.0
acp,10,rwlav,12.751307157323579,LOCALLY_SOLVED,37.00040522804755,LOCALLY_SOLVED,100.0
ivr,10,rwlav,12.751297583177104,LOCALLY_SOLVED,37.000004600178904,LOCALLY_SOLVED,100.0
acr,10,wls,56.246322273963614,NUMERICAL_ERROR,413.132885590923,NUMERICAL_ERROR,100.0
acp,10,wls,1267.814655503468,NUMERICAL_ERROR,1210.4783345652909,NUMERICAL_ERROR,100.0
ivr,10,wls,118.96136697189083,NUMERICAL_ERROR,123.52577545526593,NUMERICAL_ERROR,100.0
acr,100,rwls,0.005996055366808804,LOCALLY_SOLVED,0.2869080986340924,LOCALLY_SOLVED,100.0
acp,100,rwls,0.005996052116120722,LOCALLY_SOLVED,0.28690809624885877,LOCALLY_SOLVED,100.0
ivr,100,rwls,0.00599605542840007,LOCALLY_SOLVED,0.28690809864542965,LOCALLY_SOLVED,100.0
