ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,pbase
1,1,0.08748984336853027,118,OPTIMAL,4.197744091967308,rwlav,100.0,linIVR,100.0
1,1,0.5295429229736328,118,LOCALLY_SOLVED,0.8342008355808577,rwlav,100.0,rIVR,100.0
1,2,0.031110048294067383,67,OPTIMAL,2.442946043302409,rwlav,100.0,linIVR,100.0
1,2,0.11768889427185059,67,LOCALLY_SOLVED,0.47922203882725184,rwlav,100.0,rIVR,100.0
1,3,0.03815603256225586,82,OPTIMAL,2.998144104761334,rwlav,100.0,linIVR,100.0
1,3,0.15497493743896484,82,LOCALLY_SOLVED,0.5963487116231662,rwlav,100.0,rIVR,100.0
1,4,0.19455409049987793,157,OPTIMAL,5.373964973612197,rwlav,100.0,linIVR,100.0
1,4,0.5348598957061768,157,LOCALLY_SOLVED,1.1259308320687105,rwlav,100.0,rIVR,100.0
2,1,0.8551859855651855,364,OPTIMAL,12.42990985747738,rwlav,100.0,linIVR,100.0
2,1,0.7806689739227295,364,LOCALLY_SOLVED,2.602177902773187,rwlav,100.0,rIVR,100.0
2,2,0.5343320369720459,283,OPTIMAL,8.888687763294385,rwlav,100.0,linIVR,100.0
2,2,0.6462078094482422,283,LOCALLY_SOLVED,2.1175718689356637,rwlav,100.0,rIVR,100.0
2,3,0.2834789752960205,232,OPTIMAL,7.124292352052448,rwlav,100.0,linIVR,100.0
2,3,0.6813199520111084,232,LOCALLY_SOLVED,1.675386412475373,rwlav,100.0,rIVR,100.0
2,4,0.4009358882904053,247,OPTIMAL,4.327456546950975,rwlav,100.0,linIVR,100.0
2,4,0.5013599395751953,247,LOCALLY_SOLVED,1.7091071748699107,rwlav,100.0,rIVR,100.0
2,5,0.01685500144958496,53,OPTIMAL,1.862540891625259,rwlav,100.0,linIVR,100.0
2,5,0.09170699119567871,53,LOCALLY_SOLVED,0.3612326202217703,rwlav,100.0,rIVR,100.0
3,1,0.23758912086486816,191,OPTIMAL,6.963545556097025,rwlav,100.0,linIVR,100.0
3,1,0.7294981479644775,191,LOCALLY_SOLVED,1.4076462449934883,rwlav,100.0,rIVR,100.0
3,2,0.11132097244262695,141,OPTIMAL,5.1738780076557855,rwlav,100.0,linIVR,100.0
