ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,0.8998138904571533,118,LOCALLY_SOLVED,135.0225611076652,rwls,100.0,rACP,ma27,1.0e-5,0.0024405325643814813,0.0010964519024697608,2
1,2,0.43479204177856445,67,LOCALLY_SOLVED,77.82541656535838,rwls,100.0,rACP,ma27,1.0e-5,0.0024405287899824657,0.0010964473084490766,2
1,3,0.7944939136505127,82,LOCALLY_SOLVED,96.83186911034943,rwls,100.0,rACP,ma27,1.0e-5,0.0025092227053733485,0.0010938601293164981,2
1,4,1.6261250972747803,157,LOCALLY_SOLVED,182.68609233769263,rwls,100.0,rACP,ma27,1.0e-5,0.0024405413620334215,0.0010964514523398817,2
2,1,4.2827839851379395,364,LOCALLY_SOLVED,421.00180443681637,rwls,100.0,rACP,ma27,1.0e-5,0.0024405389221027196,0.0010964515181942176,2
2,2,3.780385971069336,283,LOCALLY_SOLVED,342.35566251658673,rwls,100.0,rACP,ma27,1.0e-5,0.0024405306597483634,0.0010964506588341226,2
2,3,3.3181490898132324,232,LOCALLY_SOLVED,270.8623746766259,rwls,100.0,rACP,ma27,1.0e-5,0.0024405386916583893,0.0010964507887574425,2
2,4,12.145209074020386,247,LOCALLY_SOLVED,278.00663165134415,rwls,100.0,rACP,ma27,1.0e-5,0.002440527861811148,0.0010964505135671763,2
2,5,0.2312459945678711,53,LOCALLY_SOLVED,58.7609150312722,rwls,100.0,rACP,ma27,1.0e-5,0.0024405174754253967,0.0010964505223728807,2
3,1,1.440842866897583,191,LOCALLY_SOLVED,227.9665995081386,rwls,100.0,rACP,ma27,1.0e-5,0.0024405214686640253,0.0010964510290771379,2
3,2,1.1785941123962402,141,LOCALLY_SOLVED,166.00429728531554,rwls,100.0,rACP,ma27,1.0e-5,0.0024405226611965425,0.0010964510880378377,2
3,3,1.769083023071289,208,LOCALLY_SOLVED,242.26545759979984,rwls,100.0,rACP,ma27,1.0e-5,0.0024405231111019887,0.001096451356101974,2
