ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol
1,1,0.14583802223205566,118,OPTIMAL,119.70647663030788,rwlav,1000.0,rIVR,gurobi,1.0e-5
1,1,0.48599696159362793,118,LOCALLY_SOLVED,93.26369069574925,rwlav,1000.0,rIVR,ma27,1.0e-5
1,2,0.04735279083251953,67,OPTIMAL,70.95623170581418,rwlav,1000.0,rIVR,gurobi,1.0e-5
1,2,0.14687299728393555,67,LOCALLY_SOLVED,57.74014765746555,rwlav,1000.0,rIVR,ma27,1.0e-5
1,3,0.07693791389465332,82,OPTIMAL,80.40381259363183,rwlav,1000.0,rIVR,gurobi,1.0e-5
1,3,0.19195199012756348,82,LOCALLY_SOLVED,69.55484632539584,rwlav,1000.0,rIVR,ma27,1.0e-5
1,4,0.2655909061431885,157,OPTIMAL,145.93541830128098,rwlav,1000.0,rIVR,gurobi,1.0e-5
1,4,0.48300790786743164,157,LOCALLY_SOLVED,122.89954313441115,rwlav,1000.0,rIVR,ma27,1.0e-5
2,1,0.8706881999969482,364,OPTIMAL,298.254467931358,rwlav,1000.0,rIVR,gurobi,1.0e-5
2,1,0.6790969371795654,364,LOCALLY_SOLVED,270.8906486065836,rwlav,1000.0,rIVR,ma27,1.0e-5
2,2,0.4628109931945801,283,OPTIMAL,247.13184524692926,rwlav,1000.0,rIVR,gurobi,1.0e-5
2,2,0.7299849987030029,283,LOCALLY_SOLVED,222.06591144103285,rwlav,1000.0,rIVR,ma27,1.0e-5
2,3,0.2791428565979004,232,OPTIMAL,196.23409679212304,rwlav,1000.0,rIVR,gurobi,1.0e-5
2,3,0.4567530155181885,232,LOCALLY_SOLVED,177.64437106663974,rwlav,1000.0,rIVR,ma27,1.0e-5
2,4,0.34763598442077637,247,OPTIMAL,195.0475977862714,rwlav,1000.0,rIVR,gurobi,1.0e-5
2,4,0.4762589931488037,247,LOCALLY_SOLVED,181.97756143712903,rwlav,1000.0,rIVR,ma27,1.0e-5
2,5,0.024544954299926758,53,OPTIMAL,59.22426036823955,rwlav,1000.0,rIVR,gurobi,1.0e-5
