ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,1.5640480518341064,118,LOCALLY_SOLVED,93.26411183014227,rwlav,1000.0,IVR,mumps,1.0e-5,0.004091853484893271,0.0032953591654231143,1
1,2,0.6979179382324219,67,LOCALLY_SOLVED,57.74014765746407,rwlav,1000.0,IVR,mumps,1.0e-5,0.004091069833109584,0.003295390389693653,1
1,3,0.9135379791259766,82,LOCALLY_SOLVED,69.55484632546342,rwlav,1000.0,IVR,mumps,1.0e-5,0.004175685323120515,0.0033047273835577575,1
1,4,1.705390214920044,157,LOCALLY_SOLVED,122.8995431343751,rwlav,1000.0,IVR,mumps,1.0e-5,0.004097234162233843,0.0032954726719275334,1
2,1,4.37024998664856,364,LOCALLY_SOLVED,270.8893247082341,rwlav,1000.0,IVR,mumps,1.0e-5,0.004094146083628569,0.003295431929749536,1
2,2,3.8444759845733643,283,LOCALLY_SOLVED,222.0659114372197,rwlav,1000.0,IVR,mumps,1.0e-5,0.004091902440988671,0.0032954125167571754,1
2,3,2.563375949859619,232,LOCALLY_SOLVED,177.64437106730236,rwlav,1000.0,IVR,mumps,1.0e-5,0.004095999777486314,0.0032954258273169973,1
2,4,2.8336260318756104,247,LOCALLY_SOLVED,181.97756141928062,rwlav,1000.0,IVR,mumps,1.0e-5,0.0040915256136004885,0.003295414616206462,1
2,5,0.4882659912109375,53,LOCALLY_SOLVED,45.89629388343741,rwlav,1000.0,IVR,mumps,1.0e-5,0.004091565019718857,0.00329547128063819,1
3,1,2.150075912475586,191,LOCALLY_SOLVED,150.98418432431026,rwlav,1000.0,IVR,mumps,1.0e-5,0.004095523878719476,0.0032954590323683542,1
3,2,1.6126818656921387,141,LOCALLY_SOLVED,112.60499525272482,rwlav,1000.0,IVR,mumps,1.0e-5,0.004096167090189784,0.0032948971882413563,1
3,3,2.3440349102020264,208,LOCALLY_SOLVED,159.87839511458787,rwlav,1000.0,IVR,mumps,1.0e-5,0.004096348033931108,0.0032955039769108465,1
3,4,0.7989010810852051,79,LOCALLY_SOLVED,68.09440916699047,rwlav,1000.0,IVR,mumps,1.0e-5,0.004091110859202107,0.0032954435702702532,1
3,5,0.4389760494232178,44,LOCALLY_SOLVED,42.93620194366718,rwlav,1000.0,IVR,mumps,1.0e-5,0.004091541221725392,0.0032954655657869317,1
