ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,0.3571591377258301,118,LOCALLY_SOLVED,93.22667941386425,rwls,100.0,rIVR,ma27,1.0e-5,0.004091002875670879,0.0032954365913800097,1
1,2,0.10746288299560547,67,LOCALLY_SOLVED,57.72336629191341,rwls,100.0,rIVR,ma27,1.0e-5,0.0040909958339008234,0.003295438018403477,1
1,3,0.17810583114624023,82,LOCALLY_SOLVED,69.53871715350887,rwls,100.0,rIVR,ma27,1.0e-5,0.004175588786399231,0.003304678867500187,1
1,4,0.3381497859954834,157,LOCALLY_SOLVED,122.81279291017646,rwls,100.0,rIVR,ma27,1.0e-5,0.0040910029970109285,0.003295436845994538,1
2,1,0.5976099967956543,364,LOCALLY_SOLVED,270.74468782580817,rwls,100.0,rIVR,ma27,1.0e-5,0.004090996233554911,0.0032954363280090016,1
2,2,0.5939369201660156,283,LOCALLY_SOLVED,221.9251380505562,rwls,100.0,rIVR,ma27,1.0e-5,0.004091088871518878,0.0032954349784612767,1
2,3,0.4204721450805664,232,LOCALLY_SOLVED,177.54615134317254,rwls,100.0,rIVR,ma27,1.0e-5,0.004091023522106996,0.0032954360375029657,1
2,4,0.44213318824768066,247,LOCALLY_SOLVED,181.9792694176353,rwls,100.0,rIVR,ma27,1.0e-5,0.004091008259596407,0.003295435902695333,1
2,5,0.07456398010253906,53,LOCALLY_SOLVED,45.886557292244206,rwls,100.0,rIVR,ma27,1.0e-5,0.004090992250529668,0.0032954360079049637,1
3,1,0.4176919460296631,191,LOCALLY_SOLVED,150.920241825024,rwls,100.0,rIVR,ma27,1.0e-5,0.004090993039632895,0.0032954364784177227,1
3,2,0.3484971523284912,141,LOCALLY_SOLVED,112.45772161267718,rwls,100.0,rIVR,ma27,1.0e-5,0.004090996310685435,0.0032954360111522424,1
3,3,0.4450819492340088,208,LOCALLY_SOLVED,159.7938374507402,rwls,100.0,rIVR,ma27,1.0e-5,0.004091006847817047,0.0032954361711042355,1
3,4,0.15334796905517578,79,LOCALLY_SOLVED,68.07935492807037,rwls,100.0,rIVR,ma27,1.0e-5,0.004090995444804735,0.0032954365782535623,1
3,5,0.08876490592956543,44,LOCALLY_SOLVED,42.928533983029666,rwls,100.0,rIVR,ma27,1.0e-5,0.00409099372247379,0.00329543622257331,1
3,6,0.197160005569458,103,LOCALLY_SOLVED,84.35149957473453,rwls,100.0,rIVR,ma27,1.0e-5,0.004090999890394631,0.003295436197420539,1
4,1,0.1147470474243164,54,LOCALLY_SOLVED,47.36827283851759,rwls,100.0,rIVR,ma27,1.0e-5,0.0040909960023478575,0.0032954363537592173,1
4,2,0.07616806030273438,36,LOCALLY_SOLVED,35.533039699518206,rwls,100.0,rIVR,ma27,1.0e-5,0.004090991841488201,0.0032954370345688517,1
4,3,0.0860300064086914,40,LOCALLY_SOLVED,37.011392910581904,rwls,100.0,rIVR,ma27,1.0e-5,0.004090993189196146,0.0032954365663386683,1
4,4,0.3526310920715332,180,LOCALLY_SOLVED,136.12680329865415,rwls,100.0,rIVR,ma27,1.0e-5,0.004090999293405506,0.0032954363475368367,1
4,5,0.09821105003356934,45,LOCALLY_SOLVED,41.450701983063304,rwls,100.0,rIVR,ma27,1.0e-5,0.004090997476342784,0.0032954358796411383,1
4,6,0.12160205841064453,60,LOCALLY_SOLVED,48.84673473815719,rwls,100.0,rIVR,ma27,1.0e-5,0.004090994045635954,0.003295436427676778,1
5,1,0.025597810745239258,12,LOCALLY_SOLVED,17.781160208801307,rwls,100.0,rIVR,ma27,1.0e-5,0.004090988061264067,0.0032954362812533853,1
5,2,0.0742790699005127,40,LOCALLY_SOLVED,38.4927911288281,rwls,100.0,rIVR,ma27,1.0e-5,0.0040909994770768066,0.0032954359487731167,1
5,3,1.2447340488433838,317,LOCALLY_SOLVED,242.63245858547492,rwls,100.0,rIVR,ma27,1.0e-5,0.004091157369112253,0.003295434031839954,1
5,4,0.12644290924072266,65,LOCALLY_SOLVED,56.24327774389572,rwls,100.0,rIVR,ma27,1.0e-5,0.004090999776602322,0.003295437206606995,1
5,5,0.21616506576538086,104,LOCALLY_SOLVED,84.3492695076286,rwls,100.0,rIVR,ma27,1.0e-5,0.004090997057507373,0.003295436717844016,1
5,6,0.0813138484954834,38,LOCALLY_SOLVED,37.010879109999784,rwls,100.0,rIVR,ma27,1.0e-5,0.00409099680111491,0.003295437154713041,1
5,7,0.09099793434143066,48,LOCALLY_SOLVED,45.888562879322514,rwls,100.0,rIVR,ma27,1.0e-5,0.004090998935947443,0.0032954370500488752,1
5,8,0.14494705200195312,84,LOCALLY_SOLVED,68.07864391700485,rwls,100.0,rIVR,ma27,1.0e-5,0.004090999125461181,0.003295436619106513,1
6,1,0.512376070022583,201,LOCALLY_SOLVED,184.94529999254365,rwls,100.0,rIVR,ma27,1.0e-5,0.004091003248457792,0.0032954360432380205,1
6,2,0.1985619068145752,89,LOCALLY_SOLVED,91.74718184480471,rwls,100.0,rIVR,ma27,1.0e-5,0.004090996863013174,0.003295435558913407,1
7,1,0.7542798519134521,139,LOCALLY_SOLVED,116.89657316116325,rwls,100.0,rIVR,ma27,1.0e-5,0.0040910461417758,0.0032954376117032246,1
7,2,0.2979559898376465,121,LOCALLY_SOLVED,97.6665027116566,rwls,100.0,rIVR,ma27,1.0e-5,0.0040909963379660574,0.0032954364966871364,1
7,3,0.15978693962097168,107,LOCALLY_SOLVED,85.8323555176605,rwls,100.0,rIVR,ma27,1.0e-5,0.0040909907400585865,0.003295436211711983,1
