ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,1.6582260131835938,118,LOCALLY_SOLVED,93.26411521334143,wls,100.0,rACP,mumps,1.0e-5,0.004091844820541146,0.003295359948328416,1
1,2,0.6180329322814941,67,LOCALLY_SOLVED,57.74014923320323,wls,100.0,rACP,mumps,1.0e-5,0.004091070237230987,0.003295390580947429,1
1,3,1.0186882019042969,82,LOCALLY_SOLVED,69.55484953298699,wls,100.0,rACP,mumps,1.0e-5,0.004175685817854324,0.003304727696258615,1
1,4,2.6441187858581543,157,LOCALLY_SOLVED,122.89954253216351,wls,100.0,rACP,mumps,1.0e-5,0.004097234036962716,0.003295472652174869,1
2,1,7.115506887435913,364,LOCALLY_SOLVED,270.89065951788814,wls,100.0,rACP,mumps,1.0e-5,0.004093953280378759,0.0032954318541988637,1
2,2,7.0824549198150635,283,LOCALLY_SOLVED,222.0647870386367,wls,100.0,rACP,mumps,1.0e-5,0.004091844918074683,0.0032954228152800506,1
2,3,4.4623260498046875,232,LOCALLY_SOLVED,177.6435239731472,wls,100.0,rACP,mumps,1.0e-5,0.004096071320564887,0.003295425163030698,1
2,4,21.211344003677368,247,LOCALLY_SOLVED,181.9775617038741,wls,100.0,rACP,mumps,1.0e-5,0.004091525719186917,0.003295414608640367,1
2,5,0.4038219451904297,53,LOCALLY_SOLVED,45.89629325034468,wls,100.0,rACP,mumps,1.0e-5,0.004091564397594505,0.003295471852676183,1
3,1,2.6832120418548584,191,LOCALLY_SOLVED,150.98417919912725,wls,100.0,rACP,mumps,1.0e-5,0.004095524646705595,0.003295458985627352,1
3,2,2.1148018836975098,141,LOCALLY_SOLVED,112.60497960461757,wls,100.0,rACP,mumps,1.0e-5,0.004096174235469263,0.003294898236306886,1
3,3,2.8484818935394287,208,LOCALLY_SOLVED,159.87839741471734,wls,100.0,rACP,mumps,1.0e-5,0.004096347227057429,0.003295503977016654,1
3,4,0.7639789581298828,79,LOCALLY_SOLVED,68.09440948493193,wls,100.0,rACP,mumps,1.0e-5,0.004091110763176031,0.003295443593214744,1
3,5,0.3239870071411133,44,LOCALLY_SOLVED,42.936361020398564,wls,100.0,rACP,mumps,1.0e-5,0.004091537260441425,0.00329547585387801,1
3,6,1.0184321403503418,103,LOCALLY_SOLVED,84.36651062816466,wls,100.0,rACP,mumps,1.0e-5,0.004091709903658591,0.0032954617893929884,1
4,1,0.35814595222473145,54,LOCALLY_SOLVED,47.37120124974613,wls,100.0,rACP,mumps,1.0e-5,0.004091021759621727,0.0032954300294422536,1
4,2,0.266010046005249,36,LOCALLY_SOLVED,35.53646499839823,wls,100.0,rACP,mumps,1.0e-5,0.004091100110864332,0.0032954429097795204,1
4,3,0.26938295364379883,40,LOCALLY_SOLVED,37.015111884629384,wls,100.0,rACP,mumps,1.0e-5,0.0040911111284700485,0.0032954569376476045,1
4,4,2.006837844848633,180,LOCALLY_SOLVED,136.1569550563808,wls,100.0,rACP,mumps,1.0e-5,0.0040918924310331395,0.0032954443177273213,1
4,5,0.3115358352661133,45,LOCALLY_SOLVED,41.45438165892756,wls,100.0,rACP,mumps,1.0e-5,0.0040912796096281845,0.0032954127276199037,1
4,6,0.5010068416595459,60,LOCALLY_SOLVED,48.85763161619552,wls,100.0,rACP,mumps,1.0e-5,0.004091917634971409,0.003295476919818592,1
5,1,0.0851590633392334,12,LOCALLY_SOLVED,17.78186659288538,wls,100.0,rACP,mumps,1.0e-5,0.004090992684883776,0.0032954149392272667,1
5,2,0.31081104278564453,40,LOCALLY_SOLVED,38.49849620608115,wls,100.0,rACP,mumps,1.0e-5,0.004091721572764717,0.003295432527192706,1
5,3,35.48223614692688,317,LOCALLY_SOLVED,242.62763900310117,wls,100.0,rACP,mumps,1.0e-5,0.0040917229224148866,0.0032954274176004335,1
5,4,0.5673937797546387,65,LOCALLY_SOLVED,56.25294643479951,wls,100.0,rACP,mumps,1.0e-5,0.004091166936058821,0.0032954343168506276,1
5,5,1.5021378993988037,104,LOCALLY_SOLVED,84.48258210091163,wls,100.0,rACP,mumps,1.0e-5,0.004106207939887918,0.0032959507844198253,1
5,6,0.28222107887268066,38,LOCALLY_SOLVED,37.0177277537796,wls,100.0,rACP,mumps,1.0e-5,0.004091833519061838,0.0032954805715323175,1
5,7,0.31131505966186523,48,LOCALLY_SOLVED,45.89091607549224,wls,100.0,rACP,mumps,1.0e-5,0.004091018390998569,0.003295435471135292,1
5,8,0.7847068309783936,84,LOCALLY_SOLVED,68.08607541661253,wls,100.0,rACP,mumps,1.0e-5,0.004091270716292339,0.003295437370706142,1
6,1,2.508481025695801,201,LOCALLY_SOLVED,184.98125259244117,wls,100.0,rACP,mumps,1.0e-5,0.004091748802063755,0.0032954623483673257,1
6,2,0.9553320407867432,89,LOCALLY_SOLVED,91.75796044876067,wls,100.0,rACP,mumps,1.0e-5,0.004091015773441953,0.0032954205930996036,1
7,1,4.579801082611084,139,LOCALLY_SOLVED,116.9123685759432,wls,100.0,rACP,mumps,1.0e-5,0.00409277997690638,0.003295455546782208,1
7,2,2.235429048538208,121,LOCALLY_SOLVED,97.7407947576277,wls,100.0,rACP,mumps,1.0e-5,0.00409563657257217,0.0032954129991680445,1
7,3,1.7051420211791992,107,LOCALLY_SOLVED,86.01672844397645,wls,100.0,rACP,mumps,1.0e-5,0.004115495544672276,0.0032956772464282705,1
7,4,43.563905000686646,358,LOCALLY_SOLVED,287.1656021309398,wls,100.0,rACP,mumps,1.0e-5,0.004142029800507485,0.00329585601908271,1
7,5,5.7906389236450195,127,LOCALLY_SOLVED,102.49866811456394,wls,100.0,rACP,mumps,1.0e-5,0.0041385046807338455,0.003296855313609053,1
7,6,0.22459101676940918,29,LOCALLY_SOLVED,45.90241236447062,wls,100.0,rACP,mumps,1.0e-5,0.004090999904001746,0.0032958117734551424,1
7,7,0.27723217010498047,39,LOCALLY_SOLVED,44.41225146292068,wls,100.0,rACP,mumps,1.0e-5,0.004091321074760401,0.003295455515580046,1
9,1,1.8862440586090088,172,LOCALLY_SOLVED,137.62555351065566,wls,100.0,rACP,mumps,1.0e-5,0.00409107361527461,0.0032954392726135965,1
9,2,0.18426918983459473,25,LOCALLY_SOLVED,42.93049452813414,wls,100.0,rACP,mumps,1.0e-5,0.004091001248130555,0.003295431517822549,1
9,3,0.17256784439086914,24,LOCALLY_SOLVED,41.45072736949663,wls,100.0,rACP,mumps,1.0e-5,0.0040910001680067865,0.003295429920171395,1
9,4,0.19536399841308594,25,LOCALLY_SOLVED,42.93050787086063,wls,100.0,rACP,mumps,1.0e-5,0.0040910011391803724,0.0032954308650648507,1
9,5,12.789446830749512,252,LOCALLY_SOLVED,195.25144856554317,wls,100.0,rACP,mumps,1.0e-5,0.0041260967645904145,0.0032937979635615225,1
9,6,0.20798897743225098,27,LOCALLY_SOLVED,44.409633493360694,wls,100.0,rACP,mumps,1.0e-5,0.004090998539124646,0.0032954309807965623,1
10,1,0.21589207649230957,30,LOCALLY_SOLVED,42.9302398893342,wls,100.0,rACP,mumps,1.0e-5,0.004090999483739921,0.0032954376300771164,1
10,2,0.1051321029663086,16,LOCALLY_SOLVED,19.26064291103187,wls,100.0,rACP,mumps,1.0e-5,0.004091002754541551,0.003295431951158385,1
10,3,0.2981259822845459,46,LOCALLY_SOLVED,34.05496685960067,wls,100.0,rACP,mumps,1.0e-5,0.0040910258968647195,0.003295431784815809,1
10,4,0.13773798942565918,23,LOCALLY_SOLVED,22.21913025713848,wls,100.0,rACP,mumps,1.0e-5,0.004090997493117587,0.0032954372459954584,1
10,5,0.15768098831176758,24,LOCALLY_SOLVED,28.136861335251535,wls,100.0,rACP,mumps,1.0e-5,0.004091012449342513,0.003295427823993684,1
10,6,0.10413408279418945,19,LOCALLY_SOLVED,19.26040573270855,wls,100.0,rACP,mumps,1.0e-5,0.004091001132624061,0.0032954360904185044,1
11,1,0.3252449035644531,42,LOCALLY_SOLVED,57.72660402931961,wls,100.0,rACP,mumps,1.0e-5,0.004091021119861704,0.003295422029979453,1
11,2,0.07316303253173828,10,LOCALLY_SOLVED,16.30246557754989,wls,100.0,rACP,mumps,1.0e-5,0.004090998751580255,0.0032956188040492124,1
11,3,0.5368139743804932,65,LOCALLY_SOLVED,60.69212151904158,wls,100.0,rACP,mumps,1.0e-5,0.004091063802532435,0.0032954407627084226,1
11,4,1.6419379711151123,114,LOCALLY_SOLVED,101.25897063091982,wls,100.0,rACP,mumps,1.0e-5,0.005649906293286766,0.003306446924248592,1
11,5,2.397023916244507,157,LOCALLY_SOLVED,139.1461126720259,wls,100.0,rACP,mumps,1.0e-5,0.004092323493798844,0.003295423472355196,1
12,1,6.8254780769348145,247,LOCALLY_SOLVED,241.74283797567347,wls,100.0,rACP,mumps,1.0e-5,0.004922396274240182,0.0032777837934924578,1
12,2,3.2863540649414062,167,LOCALLY_SOLVED,134.6920279593942,wls,100.0,rACP,mumps,1.0e-5,0.004091519866420201,0.0032954404845151595,1
12,3,8.463090896606445,153,LOCALLY_SOLVED,209.78624350477386,wls,100.0,rACP,mumps,1.0e-5,0.007085690125385735,0.0033230229409972143,1
13,1,1.065140962600708,89,LOCALLY_SOLVED,79.94872841896382,wls,100.0,rACP,mumps,1.0e-5,0.004091301900313482,0.0032955004761279667,1
13,2,0.7537000179290771,82,LOCALLY_SOLVED,66.6052180577644,wls,100.0,rACP,mumps,1.0e-5,0.004091094570661924,0.003295450494019905,1
