ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,0.1475841999053955,118,OPTIMAL,119.70647663030788,rwls,100.0,rIVR,gurobi,1.0e-5,0.004994603811198761,0.0028455734978189685,1
1,1,0.4805729389190674,118,LOCALLY_SOLVED,119.63510594213683,rwls,100.0,rIVR,ma27,1.0e-5,0.004994788845112064,0.002845386968752611,1
1,2,0.04666304588317871,67,OPTIMAL,70.95623170581418,rwls,100.0,rIVR,gurobi,1.0e-5,0.004608704924595752,0.002819575977153141,1
1,2,0.31716299057006836,67,LOCALLY_SOLVED,70.95240415392686,rwls,100.0,rIVR,ma27,1.0e-5,0.004570850389398862,0.0028196267762961996,1
1,3,0.07808613777160645,82,OPTIMAL,80.40381259363183,rwls,100.0,rIVR,gurobi,1.0e-5,0.0050462363833367885,0.0028089045491490627,1
1,3,0.22488808631896973,82,LOCALLY_SOLVED,80.4016630808776,rwls,100.0,rIVR,ma27,1.0e-5,0.005046211323531891,0.0028087930359125047,1
1,4,0.26853108406066895,157,OPTIMAL,145.93541830128098,rwls,100.0,rIVR,gurobi,1.0e-5,0.004956478094910954,0.0028239312906509296,1
1,4,0.44770097732543945,157,LOCALLY_SOLVED,145.9227899819361,rwls,100.0,rIVR,ma27,1.0e-5,0.004956506127212101,0.002824106149668789,1
2,1,0.8914480209350586,364,OPTIMAL,298.254467931358,rwls,100.0,rIVR,gurobi,1.0e-5,0.004285608563242116,0.002799401509297837,1
2,1,1.430506944656372,364,LOCALLY_SOLVED,298.26659386963877,rwls,100.0,rIVR,ma27,1.0e-5,0.004284839362800552,0.0027994696075568037,1
2,2,0.47255802154541016,283,OPTIMAL,247.13184524692926,rwls,100.0,rIVR,gurobi,1.0e-5,0.00493144709441129,0.0027981840377890276,1
2,2,0.7579731941223145,283,LOCALLY_SOLVED,247.11958526269737,rwls,100.0,rIVR,ma27,1.0e-5,0.00492638667283396,0.0027982325922280126,1
2,3,0.27912187576293945,232,OPTIMAL,196.23409679212304,rwls,100.0,rIVR,gurobi,1.0e-5,0.004244029648066805,0.0027993914391880757,1
2,3,0.5142760276794434,232,LOCALLY_SOLVED,196.23953187430703,rwls,100.0,rIVR,ma27,1.0e-5,0.004246709854294428,0.0027994008377848207,1
2,4,0.3541719913482666,247,OPTIMAL,195.0475977862714,rwls,100.0,rIVR,gurobi,1.0e-5,0.004915619642269942,0.00280089340508954,1
2,4,0.4859151840209961,247,LOCALLY_SOLVED,195.05146998752488,rwls,100.0,rIVR,ma27,1.0e-5,0.004915590906559686,0.002800914476396761,1
2,5,0.024512052536010742,53,OPTIMAL,59.22426036823955,rwls,100.0,rIVR,gurobi,1.0e-5,0.003948481883089716,0.002822898616600159,1
2,5,0.09198689460754395,53,LOCALLY_SOLVED,59.22459314777991,rwls,100.0,rIVR,ma27,1.0e-5,0.003948468122429105,0.002822893677875753,1
3,1,0.370373010635376,191,OPTIMAL,166.41935805796479,rwls,100.0,rIVR,gurobi,1.0e-5,0.0041610550205561925,0.0027988321637521796,1
3,1,1.7024450302124023,191,LOCALLY_SOLVED,166.3949702685904,rwls,100.0,rIVR,ma27,1.0e-5,0.004159967181874169,0.002798813561872159,1
3,2,0.21025800704956055,141,OPTIMAL,135.3279691058217,rwls,100.0,rIVR,gurobi,1.0e-5,0.004840728975102904,0.0028071228757088253,1
3,2,1.018751859664917,141,LOCALLY_SOLVED,135.32856266947803,rwls,100.0,rIVR,ma27,1.0e-5,0.004840671340988312,0.002807108364584711,1
3,3,0.22237801551818848,208,OPTIMAL,188.66273176558715,rwls,100.0,rIVR,gurobi,1.0e-5,0.006306293700413912,0.002822274591843263,1
3,3,0.5353150367736816,208,LOCALLY_SOLVED,188.66427017499217,rwls,100.0,rIVR,ma27,1.0e-5,0.006302688835456927,0.00282225989292494,1
3,4,0.09097409248352051,79,OPTIMAL,82.0188827282223,rwls,100.0,rIVR,gurobi,1.0e-5,0.004933661000759537,0.00282154410414866,1
3,4,8.33604097366333,79,LOCALLY_SOLVED,82.01923842280574,rwls,100.0,rIVR,ma27,1.0e-5,0.004933478986629325,0.002821539133449043,1
3,5,0.028484106063842773,44,OPTIMAL,58.73797632395182,rwls,100.0,rIVR,gurobi,1.0e-5,0.0050372606124871044,0.002830750034643925,1
3,5,0.1029660701751709,44,LOCALLY_SOLVED,58.73810357908402,rwls,100.0,rIVR,ma27,1.0e-5,0.005037178989320212,0.00283072471779536,1
3,6,0.13249802589416504,103,OPTIMAL,124.76410482614833,rwls,100.0,rIVR,gurobi,1.0e-5,0.004248826872901068,0.0028631320633213096,1
3,6,0.4124128818511963,103,LOCALLY_SOLVED,124.73426960835131,rwls,100.0,rIVR,ma27,1.0e-5,0.004230180129370487,0.002863556901055989,1
4,1,0.03862905502319336,54,OPTIMAL,61.07849141626995,rwls,100.0,rIVR,gurobi,1.0e-5,0.004919951393805855,0.002849838425301605,1
4,1,0.13328909873962402,54,LOCALLY_SOLVED,61.07867616043671,rwls,100.0,rIVR,ma27,1.0e-5,0.004918775701634459,0.0028498643702724227,1
4,2,0.022634029388427734,36,OPTIMAL,50.045778040392726,rwls,100.0,rIVR,gurobi,1.0e-5,0.00436177320643405,0.0028090665154128945,1
4,2,0.08257102966308594,36,LOCALLY_SOLVED,50.04582380475596,rwls,100.0,rIVR,ma27,1.0e-5,0.004361720836868477,0.002809058238134877,1
4,3,0.028532028198242188,40,OPTIMAL,50.80855017482089,rwls,100.0,rIVR,gurobi,1.0e-5,0.004492075712724919,0.0028423233797499384,1
4,3,0.18167901039123535,40,LOCALLY_SOLVED,50.807435991593415,rwls,100.0,rIVR,ma27,1.0e-5,0.0044897205148530794,0.002842313702840112,1
4,4,0.329024076461792,180,OPTIMAL,159.1464506437061,rwls,100.0,rIVR,gurobi,1.0e-5,0.004605474708460844,0.002798712650255985,1
4,4,0.6698009967803955,180,LOCALLY_SOLVED,159.09712057460516,rwls,100.0,rIVR,ma27,1.0e-5,0.004605058192868161,0.0027987459127449417,1
4,5,0.03564000129699707,45,OPTIMAL,61.3474034878908,rwls,100.0,rIVR,gurobi,1.0e-5,0.00413158003825298,0.0028510200862940037,1
4,5,0.16653084754943848,45,LOCALLY_SOLVED,61.34852509851156,rwls,100.0,rIVR,ma27,1.0e-5,0.004140350874549448,0.002850322031279303,1
4,6,0.05305600166320801,60,OPTIMAL,66.02082177356951,rwls,100.0,rIVR,gurobi,1.0e-5,0.004615553414525575,0.0028281355436003044,1
4,6,0.292651891708374,60,LOCALLY_SOLVED,66.02103074304283,rwls,100.0,rIVR,ma27,1.0e-5,0.004611922854084405,0.002828244245433447,1
5,1,0.0033049583435058594,12,OPTIMAL,42.09304741660537,rwls,100.0,rIVR,gurobi,1.0e-5,0.004867827838900718,0.002633595910586755,1
5,1,0.028510093688964844,12,LOCALLY_SOLVED,42.093073603589275,rwls,100.0,rIVR,ma27,1.0e-5,0.004867803174339214,0.0026336722833209905,1
5,2,0.02547001838684082,40,OPTIMAL,61.88459258688579,rwls,100.0,rIVR,gurobi,1.0e-5,0.006693255868568948,0.002932990092434682,1
5,2,0.09421420097351074,40,LOCALLY_SOLVED,61.88464649921579,rwls,100.0,rIVR,ma27,1.0e-5,0.006693412800664933,0.0029329528808260926,1
5,3,0.8746891021728516,317,OPTIMAL,258.7082501077175,rwls,100.0,rIVR,gurobi,1.0e-5,0.004899407289481017,0.0028012819827240468,1
5,3,4.434499025344849,317,LOCALLY_SOLVED,249.3694854370943,rwls,100.0,rIVR,ma27,1.0e-5,0.0049227824882926985,0.0027993504928482743,1
5,4,0.04639911651611328,65,OPTIMAL,73.82271768693393,rwls,100.0,rIVR,gurobi,1.0e-5,0.005067232569423874,0.002856539127261432,1
5,4,0.16240596771240234,65,LOCALLY_SOLVED,73.82014484562612,rwls,100.0,rIVR,ma27,1.0e-5,0.005067199026510094,0.0028565593795625483,1
5,5,0.14264392852783203,104,OPTIMAL,105.70785262812949,rwls,100.0,rIVR,gurobi,1.0e-5,0.005011853127531829,0.002830513911827876,1
