ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,0.14730095863342285,118,OPTIMAL,119.70647663030788,wls,100.0,rIVR,gurobi,1.0e-5,0.004994603811198761,0.0028455734978189685,1
1,1,0.501255989074707,118,LOCALLY_SOLVED,119.63510594213683,wls,100.0,rIVR,ma27,1.0e-5,0.004994788845112064,0.002845386968752611,1
1,2,0.04775381088256836,67,OPTIMAL,70.95623170581418,wls,100.0,rIVR,gurobi,1.0e-5,0.004608704924595752,0.002819575977153141,1
1,2,0.3101189136505127,67,LOCALLY_SOLVED,70.95240415392686,wls,100.0,rIVR,ma27,1.0e-5,0.004570850389398862,0.0028196267762961996,1
1,3,0.07828497886657715,82,OPTIMAL,80.40381259363183,wls,100.0,rIVR,gurobi,1.0e-5,0.0050462363833367885,0.0028089045491490627,1
1,3,0.23617792129516602,82,LOCALLY_SOLVED,80.4016630808776,wls,100.0,rIVR,ma27,1.0e-5,0.005046211323531891,0.0028087930359125047,1
1,4,0.270920991897583,157,OPTIMAL,145.93541830128098,wls,100.0,rIVR,gurobi,1.0e-5,0.004956478094910954,0.0028239312906509296,1
1,4,0.42420005798339844,157,LOCALLY_SOLVED,145.9227899819361,wls,100.0,rIVR,ma27,1.0e-5,0.004956506127212101,0.002824106149668789,1
2,1,0.8802769184112549,364,OPTIMAL,298.254467931358,wls,100.0,rIVR,gurobi,1.0e-5,0.004285608563242116,0.002799401509297837,1
2,1,1.4232831001281738,364,LOCALLY_SOLVED,298.26659386963877,wls,100.0,rIVR,ma27,1.0e-5,0.004284839362800552,0.0027994696075568037,1
2,2,0.47448301315307617,283,OPTIMAL,247.13184524692926,wls,100.0,rIVR,gurobi,1.0e-5,0.00493144709441129,0.0027981840377890276,1
2,2,0.7850759029388428,283,LOCALLY_SOLVED,247.11958526269737,wls,100.0,rIVR,ma27,1.0e-5,0.00492638667283396,0.0027982325922280126,1
2,3,0.290816068649292,232,OPTIMAL,196.23409679212304,wls,100.0,rIVR,gurobi,1.0e-5,0.004244029648066805,0.0027993914391880757,1
2,3,0.5221660137176514,232,LOCALLY_SOLVED,196.23953187430703,wls,100.0,rIVR,ma27,1.0e-5,0.004246709854294428,0.0027994008377848207,1
2,4,0.35266900062561035,247,OPTIMAL,195.0475977862714,wls,100.0,rIVR,gurobi,1.0e-5,0.004915619642269942,0.00280089340508954,1
2,4,0.4726591110229492,247,LOCALLY_SOLVED,195.05146998752488,wls,100.0,rIVR,ma27,1.0e-5,0.004915590906559686,0.002800914476396761,1
2,5,0.025094032287597656,53,OPTIMAL,59.22426036823955,wls,100.0,rIVR,gurobi,1.0e-5,0.003948481883089716,0.002822898616600159,1
2,5,0.09279894828796387,53,LOCALLY_SOLVED,59.22459314777991,wls,100.0,rIVR,ma27,1.0e-5,0.003948468122429105,0.002822893677875753,1
3,1,0.37074780464172363,191,OPTIMAL,166.41935805796479,wls,100.0,rIVR,gurobi,1.0e-5,0.0041610550205561925,0.0027988321637521796,1
3,1,1.705993890762329,191,LOCALLY_SOLVED,166.3949702685904,wls,100.0,rIVR,ma27,1.0e-5,0.004159967181874169,0.002798813561872159,1
3,2,0.20790696144104004,141,OPTIMAL,135.3279691058217,wls,100.0,rIVR,gurobi,1.0e-5,0.004840728975102904,0.0028071228757088253,1
