ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,0.3461728096008301,118,LOCALLY_SOLVED,93.22667941386425,wls,100.0,rIVR,ma27,1.0e-5,0.004091002875670879,0.0032954365913800097,1
1,2,0.10773491859436035,67,LOCALLY_SOLVED,57.72336629191341,wls,100.0,rIVR,ma27,1.0e-5,0.0040909958339008234,0.003295438018403477,1
1,3,0.17223405838012695,82,LOCALLY_SOLVED,69.53871715350887,wls,100.0,rIVR,ma27,1.0e-5,0.004175588786399231,0.003304678867500187,1
1,4,0.3182530403137207,157,LOCALLY_SOLVED,122.81279291017646,wls,100.0,rIVR,ma27,1.0e-5,0.0040910029970109285,0.003295436845994538,1
2,1,0.515606164932251,364,LOCALLY_SOLVED,270.74468782580817,wls,100.0,rIVR,ma27,1.0e-5,0.004090996233554911,0.0032954363280090016,1
2,2,0.5228111743927002,283,LOCALLY_SOLVED,221.9251380505562,wls,100.0,rIVR,ma27,1.0e-5,0.004091088871518878,0.0032954349784612767,1
2,3,0.3883209228515625,232,LOCALLY_SOLVED,177.54615134317254,wls,100.0,rIVR,ma27,1.0e-5,0.004091023522106996,0.0032954360375029657,1
2,4,0.41988706588745117,247,LOCALLY_SOLVED,181.9792694176353,wls,100.0,rIVR,ma27,1.0e-5,0.004091008259596407,0.003295435902695333,1
2,5,0.07416915893554688,53,LOCALLY_SOLVED,45.886557292244206,wls,100.0,rIVR,ma27,1.0e-5,0.004090992250529668,0.0032954360079049637,1
3,1,0.38423585891723633,191,LOCALLY_SOLVED,150.920241825024,wls,100.0,rIVR,ma27,1.0e-5,0.004090993039632895,0.0032954364784177227,1
3,2,0.34701108932495117,141,LOCALLY_SOLVED,112.45772161267718,wls,100.0,rIVR,ma27,1.0e-5,0.004090996310685435,0.0032954360111522424,1
3,3,0.38909292221069336,208,LOCALLY_SOLVED,159.7938374507402,wls,100.0,rIVR,ma27,1.0e-5,0.004091006847817047,0.0032954361711042355,1
3,4,0.15548300743103027,79,LOCALLY_SOLVED,68.07935492807037,wls,100.0,rIVR,ma27,1.0e-5,0.004090995444804735,0.0032954365782535623,1
3,5,0.08590316772460938,44,LOCALLY_SOLVED,42.928533983029666,wls,100.0,rIVR,ma27,1.0e-5,0.00409099372247379,0.00329543622257331,1
3,6,0.19340014457702637,103,LOCALLY_SOLVED,84.35149957473453,wls,100.0,rIVR,ma27,1.0e-5,0.004090999890394631,0.003295436197420539,1
4,1,0.11148715019226074,54,LOCALLY_SOLVED,47.36827283851759,wls,100.0,rIVR,ma27,1.0e-5,0.0040909960023478575,0.0032954363537592173,1
4,2,0.07543706893920898,36,LOCALLY_SOLVED,35.533039699518206,wls,100.0,rIVR,ma27,1.0e-5,0.004090991841488201,0.0032954370345688517,1
4,3,0.08539915084838867,40,LOCALLY_SOLVED,37.011392910581904,wls,100.0,rIVR,ma27,1.0e-5,0.004090993189196146,0.0032954365663386683,1
4,4,0.3434450626373291,180,LOCALLY_SOLVED,136.12680329865415,wls,100.0,rIVR,ma27,1.0e-5,0.004090999293405506,0.0032954363475368367,1
4,5,0.09191298484802246,45,LOCALLY_SOLVED,41.450701983063304,wls,100.0,rIVR,ma27,1.0e-5,0.004090997476342784,0.0032954358796411383,1
4,6,0.12192106246948242,60,LOCALLY_SOLVED,48.84673473815719,wls,100.0,rIVR,ma27,1.0e-5,0.004090994045635954,0.003295436427676778,1
5,1,0.02350592613220215,12,LOCALLY_SOLVED,17.781160208801307,wls,100.0,rIVR,ma27,1.0e-5,0.004090988061264067,0.0032954362812533853,1
5,2,0.0735471248626709,40,LOCALLY_SOLVED,38.4927911288281,wls,100.0,rIVR,ma27,1.0e-5,0.0040909994770768066,0.0032954359487731167,1
5,3,1.136941909790039,317,LOCALLY_SOLVED,242.63245858547492,wls,100.0,rIVR,ma27,1.0e-5,0.004091157369112253,0.003295434031839954,1
5,4,0.1250591278076172,65,LOCALLY_SOLVED,56.24327774389572,wls,100.0,rIVR,ma27,1.0e-5,0.004090999776602322,0.003295437206606995,1
5,5,0.21889901161193848,104,LOCALLY_SOLVED,84.3492695076286,wls,100.0,rIVR,ma27,1.0e-5,0.004090997057507373,0.003295436717844016,1
