ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,1.4368391036987305,118,LOCALLY_SOLVED,93.26411182101197,rwls,100.0,rIVR,mumps,1.0e-5,0.004091853543479518,0.003295359161912827,1
1,2,0.7144830226898193,67,LOCALLY_SOLVED,57.74014765748128,rwls,100.0,rIVR,mumps,1.0e-5,0.004091069833112915,0.0032953903896905247,1
1,3,0.8545858860015869,82,LOCALLY_SOLVED,69.55484632543251,rwls,100.0,rIVR,mumps,1.0e-5,0.004175685323390299,0.0033047273835885706,1
1,4,1.6823298931121826,157,LOCALLY_SOLVED,122.89954313444883,rwls,100.0,rIVR,mumps,1.0e-5,0.0040972341626202,0.0032954726718508573,1
2,1,3.82987904548645,364,LOCALLY_SOLVED,270.8906486063943,rwls,100.0,rIVR,mumps,1.0e-5,0.004093956273276023,0.0032954316770625785,1
2,2,3.5129950046539307,283,LOCALLY_SOLVED,222.06591143447338,rwls,100.0,rIVR,mumps,1.0e-5,0.004091902439278483,0.0032954124817703326,1
2,3,2.36092209815979,232,LOCALLY_SOLVED,177.6443710666347,rwls,100.0,rIVR,mumps,1.0e-5,0.004095999773297665,0.0032954258273208093,1
2,4,2.5244531631469727,247,LOCALLY_SOLVED,181.97756141952237,rwls,100.0,rIVR,mumps,1.0e-5,0.004091525613464819,0.0032954146162029276,1
2,5,0.4645390510559082,53,LOCALLY_SOLVED,45.89629388604032,rwls,100.0,rIVR,mumps,1.0e-5,0.004091565021151489,0.0032954712803897417,1
3,1,1.9031729698181152,191,LOCALLY_SOLVED,150.98418436117666,rwls,100.0,rIVR,mumps,1.0e-5,0.00409552389495671,0.0032954590334121534,1
3,2,1.5083940029144287,141,LOCALLY_SOLVED,112.60499530780179,rwls,100.0,rIVR,mumps,1.0e-5,0.004096167091173886,0.003294897191011186,1
3,3,3.8479299545288086,208,LOCALLY_SOLVED,159.8776468988596,rwls,100.0,rIVR,mumps,1.0e-5,0.004096418033530336,0.0032955031430224003,1
3,4,0.7233810424804688,79,LOCALLY_SOLVED,68.09440914488873,rwls,100.0,rIVR,mumps,1.0e-5,0.004091110849549828,0.003295443569875063,1
3,5,0.4118800163269043,44,LOCALLY_SOLVED,42.93620195668323,rwls,100.0,rIVR,mumps,1.0e-5,0.004091541213346317,0.0032954655272659406,1
3,6,0.9667768478393555,103,LOCALLY_SOLVED,84.36352738506206,rwls,100.0,rIVR,mumps,1.0e-5,0.00409128519083346,0.003295445595183759,1
4,1,0.6743829250335693,54,LOCALLY_SOLVED,47.37120071711479,rwls,100.0,rIVR,mumps,1.0e-5,0.0040910220804786235,0.00329542961480802,1
4,2,0.33767104148864746,36,LOCALLY_SOLVED,35.53646644108448,rwls,100.0,rIVR,mumps,1.0e-5,0.004091100879834997,0.0032954429646160003,1
4,3,0.3637199401855469,40,LOCALLY_SOLVED,37.015110170512976,rwls,100.0,rIVR,mumps,1.0e-5,0.004091112401658936,0.003295456659107742,1
4,4,1.6725351810455322,180,LOCALLY_SOLVED,136.1569535032492,rwls,100.0,rIVR,mumps,1.0e-5,0.004091889864927589,0.003295444288343619,1
4,5,0.3826172351837158,45,LOCALLY_SOLVED,41.454378314699255,rwls,100.0,rIVR,mumps,1.0e-5,0.004091279641123879,0.003295412539017251,1
4,6,0.5767910480499268,60,LOCALLY_SOLVED,48.85743226488316,rwls,100.0,rIVR,mumps,1.0e-5,0.004091929565282593,0.0032954758562049533,1
5,1,0.11181807518005371,12,LOCALLY_SOLVED,17.78182618596388,rwls,100.0,rIVR,mumps,1.0e-5,0.004090992483964717,0.003295410887239404,1
5,2,0.37552785873413086,40,LOCALLY_SOLVED,38.49849468373796,rwls,100.0,rIVR,mumps,1.0e-5,0.004091728121068616,0.0032954327805309455,1
5,3,7.841389894485474,317,LOCALLY_SOLVED,242.62763898538054,rwls,100.0,rIVR,mumps,1.0e-5,0.0040917229829970925,0.0032954274277996235,1
5,4,0.5753490924835205,65,LOCALLY_SOLVED,56.252946065371866,rwls,100.0,rIVR,mumps,1.0e-5,0.004091167097342252,0.003295434194922787,1
5,5,1.1792588233947754,104,LOCALLY_SOLVED,84.48258254502414,rwls,100.0,rIVR,mumps,1.0e-5,0.004106207864539524,0.003295950728893816,1
5,6,0.360673189163208,38,LOCALLY_SOLVED,37.017730973975695,rwls,100.0,rIVR,mumps,1.0e-5,0.004091833864769523,0.00329548037801765,1
5,7,0.38376402854919434,48,LOCALLY_SOLVED,45.890917949004105,rwls,100.0,rIVR,mumps,1.0e-5,0.004091018475829156,0.0032954354052978176,1
5,8,0.6701960563659668,84,LOCALLY_SOLVED,68.08607750188557,rwls,100.0,rIVR,mumps,1.0e-5,0.004091267367588358,0.0032954374201414906,1
6,1,2.1657400131225586,201,LOCALLY_SOLVED,184.98125949029978,rwls,100.0,rIVR,mumps,1.0e-5,0.004091776583478257,0.0032954628427867396,1
6,2,1.0365650653839111,89,LOCALLY_SOLVED,91.75795955966574,rwls,100.0,rIVR,mumps,1.0e-5,0.0040910162484339985,0.003295421258088482,1
7,1,1.500427007675171,139,LOCALLY_SOLVED,116.91237131118294,rwls,100.0,rIVR,mumps,1.0e-5,0.004092775446558727,0.0032954554286455467,1
7,2,1.344115972518921,121,LOCALLY_SOLVED,97.74080466527404,rwls,100.0,rIVR,mumps,1.0e-5,0.00409563570758964,0.003295412788386302,1
7,3,1.0283029079437256,107,LOCALLY_SOLVED,86.0167291280705,rwls,100.0,rIVR,mumps,1.0e-5,0.004114513271598286,0.0032956816384758815,1
7,4,4.201789140701294,358,LOCALLY_SOLVED,287.16412840278514,rwls,100.0,rIVR,mumps,1.0e-5,0.004142031333475682,0.003295861241751659,1
7,5,1.2388348579406738,127,LOCALLY_SOLVED,102.49817762537558,rwls,100.0,rIVR,mumps,1.0e-5,0.004138561288545173,0.003296851183215807,1
7,6,0.38341188430786133,29,LOCALLY_SOLVED,45.902239103057056,rwls,100.0,rIVR,mumps,1.0e-5,0.004090998174733795,0.0032958070916138883,1
7,7,0.36757993698120117,39,LOCALLY_SOLVED,44.41225241594144,rwls,100.0,rIVR,mumps,1.0e-5,0.004091325204978569,0.003295455824812815,1
9,1,1.5663609504699707,172,LOCALLY_SOLVED,137.62553471016983,rwls,100.0,rIVR,mumps,1.0e-5,0.004091075305960201,0.0032954392546779387,1
9,2,0.256727933883667,25,LOCALLY_SOLVED,42.93049414441687,rwls,100.0,rIVR,mumps,1.0e-5,0.004091001259324045,0.003295431526490177,1
9,3,0.2523679733276367,24,LOCALLY_SOLVED,41.45078368177702,rwls,100.0,rIVR,mumps,1.0e-5,0.0040910013692947444,0.003295430943405441,1
9,4,0.280534029006958,25,LOCALLY_SOLVED,42.93031688555449,rwls,100.0,rIVR,mumps,1.0e-5,0.004090997732496104,0.0032954324494081505,1
9,5,2.791741132736206,252,LOCALLY_SOLVED,195.2514484914736,rwls,100.0,rIVR,mumps,1.0e-5,0.004126096889441211,0.003293797966218871,1
9,6,0.2974739074707031,27,LOCALLY_SOLVED,44.4096200901096,rwls,100.0,rIVR,mumps,1.0e-5,0.004090997714475186,0.0032954311809411793,1
10,1,0.29610109329223633,30,LOCALLY_SOLVED,42.93024091896709,rwls,100.0,rIVR,mumps,1.0e-5,0.004090999481836999,0.0032954376322350677,1
