ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,0.855705976486206,118,LOCALLY_SOLVED,93.22667285137416,rwlav,100.0,rACP,ma27,1.0e-5,0.0040910026624623175,0.003295436591956464,1
1,2,0.2928130626678467,67,LOCALLY_SOLVED,57.72324517487654,rwlav,100.0,rACP,ma27,1.0e-5,0.004090995433205125,0.0032954378091353894,1
1,3,0.6831681728363037,82,LOCALLY_SOLVED,69.5383909709695,rwlav,100.0,rACP,ma27,1.0e-5,0.004175606261642706,0.003304679564600749,1
1,4,1.3097059726715088,157,LOCALLY_SOLVED,122.81292683180052,rwlav,100.0,rACP,ma27,1.0e-5,0.004091003362519441,0.0032954368754509063,1
2,1,3.7800698280334473,364,LOCALLY_SOLVED,270.7446625002582,rwlav,100.0,rACP,ma27,1.0e-5,0.004090996283918624,0.0032954363269298605,1
2,2,3.268540143966675,283,LOCALLY_SOLVED,221.92513938569854,rwlav,100.0,rACP,ma27,1.0e-5,0.004091089707347173,0.003295434983715809,1
2,3,2.5496621131896973,232,LOCALLY_SOLVED,177.546151327857,rwlav,100.0,rACP,ma27,1.0e-5,0.004091023501166413,0.003295436037431405,1
2,4,12.116316080093384,247,LOCALLY_SOLVED,181.97932645714818,rwlav,100.0,rACP,ma27,1.0e-5,0.004091010559396091,0.003295435887973909,1
2,5,0.19880390167236328,53,LOCALLY_SOLVED,45.886761046134325,rwlav,100.0,rACP,ma27,1.0e-5,0.0040909923959076,0.003295435824011717,1
3,1,1.2982659339904785,191,LOCALLY_SOLVED,150.91999250076674,rwlav,100.0,rACP,ma27,1.0e-5,0.004090992460897169,0.0032954365368283948,1
3,2,0.8826148509979248,141,LOCALLY_SOLVED,112.45742731654721,rwlav,100.0,rACP,ma27,1.0e-5,0.004090995905883021,0.003295435989061212,1
3,3,1.40910005569458,208,LOCALLY_SOLVED,159.7940120231996,rwlav,100.0,rACP,ma27,1.0e-5,0.004091008818265518,0.0032954362243574806,1
3,4,0.33348917961120605,79,LOCALLY_SOLVED,68.07918969832342,rwlav,100.0,rACP,ma27,1.0e-5,0.004090994628213496,0.0032954365034106293,1
3,5,0.1565999984741211,44,LOCALLY_SOLVED,42.9284586753471,rwlav,100.0,rACP,ma27,1.0e-5,0.00409099327279594,0.0032954361851271485,1
3,6,0.5139780044555664,103,LOCALLY_SOLVED,84.35132950468856,rwlav,100.0,rACP,ma27,1.0e-5,0.0040909997370990325,0.00329543624516966,1
4,1,0.17515921592712402,54,LOCALLY_SOLVED,47.368173447721894,rwlav,100.0,rACP,ma27,1.0e-5,0.004090995339306236,0.003295436597446418,1
4,2,0.12057209014892578,36,LOCALLY_SOLVED,35.53288380691498,rwlav,100.0,rACP,ma27,1.0e-5,0.004090991443977066,0.003295437056185259,1
4,3,0.12915992736816406,40,LOCALLY_SOLVED,37.01154610186391,rwlav,100.0,rACP,ma27,1.0e-5,0.004090993707515533,0.0032954366791937296,1
4,4,0.9725279808044434,180,LOCALLY_SOLVED,136.12641861807745,rwlav,100.0,rACP,ma27,1.0e-5,0.004090998080521269,0.0032954363796808923,1
4,5,0.13028287887573242,45,LOCALLY_SOLVED,41.45060522556448,rwlav,100.0,rACP,ma27,1.0e-5,0.004091006021864407,0.0032954360516544217,1
4,6,0.24452590942382812,60,LOCALLY_SOLVED,48.846733311061456,rwlav,100.0,rACP,ma27,1.0e-5,0.004090994337932363,0.003295436498886962,1
5,1,0.04928708076477051,12,LOCALLY_SOLVED,17.78121645084569,rwlav,100.0,rACP,ma27,1.0e-5,0.004090988269156881,0.0032954361987104805,1
5,2,0.14197492599487305,40,LOCALLY_SOLVED,38.49278973579007,rwlav,100.0,rACP,ma27,1.0e-5,0.00409100072866897,0.003295435867739458,1
5,3,19.173534154891968,317,LOCALLY_SOLVED,242.63246122564578,rwlav,100.0,rACP,ma27,1.0e-5,0.004091163871871473,0.003295434065159625,1
5,4,0.27716779708862305,65,LOCALLY_SOLVED,56.24299828196017,rwlav,100.0,rACP,ma27,1.0e-5,0.004090996179672235,0.0032954371045833737,1
5,5,0.5141489505767822,104,LOCALLY_SOLVED,84.3497535591592,rwlav,100.0,rACP,ma27,1.0e-5,0.0040909997316531665,0.0032954371445542974,1
5,6,0.13648486137390137,38,LOCALLY_SOLVED,37.01088106600237,rwlav,100.0,rACP,ma27,1.0e-5,0.004090997056710011,0.003295437336061348,1
