ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,1.8925769329071045,118,LOCALLY_SOLVED,93.22642400541238,rwls,100.0,rACR,ma27,1.0e-5,0.00409100128708384,0.0032954365112691448,1
1,2,0.3061678409576416,67,LOCALLY_SOLVED,57.72336379208849,rwls,100.0,rACR,ma27,1.0e-5,0.004090995819444165,0.0032954379920112887,1
1,3,0.4427201747894287,82,LOCALLY_SOLVED,69.53871694860545,rwls,100.0,rACR,ma27,1.0e-5,0.004175588841820899,0.0033046788184862646,1
1,4,0.8898341655731201,157,LOCALLY_SOLVED,122.81287307281248,rwls,100.0,rACR,ma27,1.0e-5,0.004091003660734227,0.0032954368975131746,1
2,1,1.6981201171875,364,LOCALLY_SOLVED,270.7450972290846,rwls,100.0,rACR,ma27,1.0e-5,0.004090996598522967,0.0032954363772269143,1
2,2,1.9848909378051758,283,LOCALLY_SOLVED,221.92393491582501,rwls,100.0,rACR,ma27,1.0e-5,0.0040910700698817415,0.0032954351859076606,1
2,3,1.1078948974609375,232,LOCALLY_SOLVED,177.54615270435517,rwls,100.0,rACR,ma27,1.0e-5,0.004091023561231255,0.0032954360506775525,1
2,4,1.3034617900848389,247,LOCALLY_SOLVED,181.97927265735277,rwls,100.0,rACR,ma27,1.0e-5,0.004091008570014987,0.003295435891582862,1
2,5,0.18426012992858887,53,LOCALLY_SOLVED,45.88667150124167,rwls,100.0,rACR,ma27,1.0e-5,0.004090992012414807,0.0032954363684240488,1
3,1,0.8656930923461914,191,LOCALLY_SOLVED,150.91992002867906,rwls,100.0,rACR,ma27,1.0e-5,0.0040909922972254265,0.0032954365628305293,1
3,2,0.7597811222076416,141,LOCALLY_SOLVED,112.45741988585912,rwls,100.0,rACR,ma27,1.0e-5,0.0040909960786108535,0.003295436020867365,1
3,3,1.2838201522827148,208,LOCALLY_SOLVED,159.7938554982911,rwls,100.0,rACR,ma27,1.0e-5,0.004091007353451914,0.0032954361915866074,1
3,4,0.384660005569458,79,LOCALLY_SOLVED,68.07918859635049,rwls,100.0,rACR,ma27,1.0e-5,0.004091000662025168,0.0032954370645996516,1
3,5,0.2202010154724121,44,LOCALLY_SOLVED,42.928467541935454,rwls,100.0,rACR,ma27,1.0e-5,0.00409099340699548,0.0032954362535764763,1
3,6,0.5179750919342041,103,LOCALLY_SOLVED,84.35129032815911,rwls,100.0,rACR,ma27,1.0e-5,0.004091000540678902,0.003295436307495644,1
4,1,0.29126811027526855,54,LOCALLY_SOLVED,47.36827867931051,rwls,100.0,rACR,ma27,1.0e-5,0.004090996305043948,0.0032954364680160874,1
4,2,0.16442584991455078,36,LOCALLY_SOLVED,35.532959211951194,rwls,100.0,rACR,ma27,1.0e-5,0.004090992952766825,0.0032954369436654723,1
4,3,0.179854154586792,40,LOCALLY_SOLVED,37.01144493042231,rwls,100.0,rACR,ma27,1.0e-5,0.004090990913165449,0.003295436720845797,1
4,4,1.0712449550628662,180,LOCALLY_SOLVED,136.12679582745673,rwls,100.0,rACR,ma27,1.0e-5,0.004090999304284804,0.0032954363359157047,1
4,5,0.23096609115600586,45,LOCALLY_SOLVED,41.4507062713845,rwls,100.0,rACR,ma27,1.0e-5,0.004090998464392426,0.0032954360812342846,1
4,6,0.29033589363098145,60,LOCALLY_SOLVED,48.84660847877155,rwls,100.0,rACR,ma27,1.0e-5,0.004090991763281648,0.0032954365432027967,1
5,1,0.049225807189941406,12,LOCALLY_SOLVED,17.781183430794762,rwls,100.0,rACR,ma27,1.0e-5,0.004090988229591863,0.003295436289078055,1
5,2,0.20032787322998047,40,LOCALLY_SOLVED,38.49278824477887,rwls,100.0,rACR,ma27,1.0e-5,0.004091000805803935,0.0032954358373681325,1
5,3,3.5599491596221924,317,LOCALLY_SOLVED,242.6324705699706,rwls,100.0,rACR,ma27,1.0e-5,0.004091157540927259,0.003295434028413107,1
5,4,0.3634660243988037,65,LOCALLY_SOLVED,56.24299875958142,rwls,100.0,rACR,ma27,1.0e-5,0.004090996234395794,0.003295437102744372,1
5,5,0.5283181667327881,104,LOCALLY_SOLVED,84.34966969199432,rwls,100.0,rACR,ma27,1.0e-5,0.004090999576384258,0.003295436973285339,1
5,6,0.16398406028747559,38,LOCALLY_SOLVED,37.010878350173954,rwls,100.0,rACR,ma27,1.0e-5,0.004090996708409955,0.00329543713515984,1
5,7,0.22244906425476074,48,LOCALLY_SOLVED,45.88847039728633,rwls,100.0,rACR,ma27,1.0e-5,0.004090998336790275,0.003295437347074791,1
5,8,0.427213191986084,84,LOCALLY_SOLVED,68.07864036003647,rwls,100.0,rACR,ma27,1.0e-5,0.004090999163320452,0.0032954366386563553,1
6,1,1.2542610168457031,201,LOCALLY_SOLVED,184.94471867189102,rwls,100.0,rACR,ma27,1.0e-5,0.00409100246789329,0.003295435883306424,1
6,2,0.49790287017822266,89,LOCALLY_SOLVED,91.74745031480597,rwls,100.0,rACR,ma27,1.0e-5,0.004091000447679738,0.003295435577657864,1
7,1,0.7821118831634521,139,LOCALLY_SOLVED,116.89673306114405,rwls,100.0,rACR,ma27,1.0e-5,0.004091052255496663,0.003295437753472354,1
7,2,0.6830539703369141,121,LOCALLY_SOLVED,97.66601358888073,rwls,100.0,rACR,ma27,1.0e-5,0.004091007386531009,0.0032954366163655503,1
7,3,0.6144070625305176,107,LOCALLY_SOLVED,85.83234071911491,rwls,100.0,rACR,ma27,1.0e-5,0.004090990721392851,0.003295436194012283,1
7,4,7.235114097595215,358,LOCALLY_SOLVED,287.00162647775403,rwls,100.0,rACR,ma27,1.0e-5,0.004091128405672162,0.0032954359180695494,1
7,5,0.710172176361084,127,LOCALLY_SOLVED,102.10671676105699,rwls,100.0,rACR,ma27,1.0e-5,0.004091111982631679,0.003295437875122138,1
7,6,0.1537771224975586,29,LOCALLY_SOLVED,45.88709620194986,rwls,100.0,rACR,ma27,1.0e-5,0.004090997392862228,0.0032954360401095998,1
