ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,1.0664360523223877,118,LOCALLY_SOLVED,93.26411268017155,rwls,100.0,rACR,mumps,1.0e-5,0.00409185684649338,0.0032953589472080186,1
1,2,0.6258931159973145,67,LOCALLY_SOLVED,57.74015290855774,rwls,100.0,rACR,mumps,1.0e-5,0.0040910716623778765,0.0032953910589353,1
1,3,0.7780349254608154,82,LOCALLY_SOLVED,69.55484812220797,rwls,100.0,rACR,mumps,1.0e-5,0.004175685435334753,0.003304728105582018,1
1,4,1.7307331562042236,157,LOCALLY_SOLVED,122.89954990177019,rwls,100.0,rACR,mumps,1.0e-5,0.004097228662488073,0.003295472398738239,1
2,1,4.35872483253479,364,LOCALLY_SOLVED,270.8906490707276,rwls,100.0,rACR,mumps,1.0e-5,0.004093954600081773,0.0032954316839739614,1
2,2,3.8835010528564453,283,LOCALLY_SOLVED,222.06591159314203,rwls,100.0,rACR,mumps,1.0e-5,0.004091899691800682,0.0032954130009036392,1
2,3,3.277913808822632,232,LOCALLY_SOLVED,177.64352408578276,rwls,100.0,rACR,mumps,1.0e-5,0.004096071238298249,0.0032954251631582667,1
2,4,2.6796770095825195,247,LOCALLY_SOLVED,181.97756112665647,rwls,100.0,rACR,mumps,1.0e-5,0.004091525770141047,0.0032954145959245163,1
2,5,0.430635929107666,53,LOCALLY_SOLVED,45.896287761599204,rwls,100.0,rACR,mumps,1.0e-5,0.0040915637680509764,0.0032954718480127684,1
3,1,1.9854710102081299,191,LOCALLY_SOLVED,150.98418058628053,rwls,100.0,rACR,mumps,1.0e-5,0.004095524998846356,0.0032954589373129497,1
3,2,1.8708081245422363,141,LOCALLY_SOLVED,112.60499358006595,rwls,100.0,rACR,mumps,1.0e-5,0.004096167322733768,0.0032948971621174356,1
3,3,2.321894884109497,208,LOCALLY_SOLVED,159.8783971175122,rwls,100.0,rACR,mumps,1.0e-5,0.004096348163928454,0.003295503991925756,1
3,4,0.6954078674316406,79,LOCALLY_SOLVED,68.09441034329262,rwls,100.0,rACR,mumps,1.0e-5,0.004091111070970266,0.0032954435565978124,1
3,5,0.37909603118896484,44,LOCALLY_SOLVED,42.93636450780394,rwls,100.0,rACR,mumps,1.0e-5,0.004091526964365211,0.003295472173327088,1
3,6,0.8409359455108643,103,LOCALLY_SOLVED,84.36650421314764,rwls,100.0,rACR,mumps,1.0e-5,0.004091716094265951,0.003295462072139257,1
4,1,0.4267690181732178,54,LOCALLY_SOLVED,47.37120119620067,rwls,100.0,rACR,mumps,1.0e-5,0.0040910217874221555,0.0032954300418936502,1
4,2,0.31035590171813965,36,LOCALLY_SOLVED,35.53646520937748,rwls,100.0,rACR,mumps,1.0e-5,0.004091100164462347,0.0032954431721033055,1
4,3,0.32499098777770996,40,LOCALLY_SOLVED,37.01510679420608,rwls,100.0,rACR,mumps,1.0e-5,0.004091111448986329,0.0032954569680930484,1
4,4,1.7343029975891113,180,LOCALLY_SOLVED,136.15695815442348,rwls,100.0,rACR,mumps,1.0e-5,0.004091892814835685,0.0032954442965975376,1
4,5,0.3850078582763672,45,LOCALLY_SOLVED,41.45438115676953,rwls,100.0,rACR,mumps,1.0e-5,0.004091279590169528,0.0032954127685613276,1
4,6,0.5168449878692627,60,LOCALLY_SOLVED,48.85763144521929,rwls,100.0,rACR,mumps,1.0e-5,0.004091916050122046,0.003295477235641524,1
5,1,0.10497689247131348,12,LOCALLY_SOLVED,17.781865626225912,rwls,100.0,rACR,mumps,1.0e-5,0.004090992566069485,0.0032954146526929518,1
5,2,0.3691980838775635,40,LOCALLY_SOLVED,38.498495339594236,rwls,100.0,rACR,mumps,1.0e-5,0.004091726239375371,0.003295432675742806,1
5,3,6.997726917266846,317,LOCALLY_SOLVED,242.62764386908248,rwls,100.0,rACR,mumps,1.0e-5,0.004091723309697759,0.003295427406793315,1
5,4,0.5648667812347412,65,LOCALLY_SOLVED,56.25294383645828,rwls,100.0,rACR,mumps,1.0e-5,0.004091167121281325,0.003295434334133594,1
5,5,1.1583359241485596,104,LOCALLY_SOLVED,84.48259049403012,rwls,100.0,rACR,mumps,1.0e-5,0.004106209186590215,0.003295951539855734,1
5,6,0.338543176651001,38,LOCALLY_SOLVED,37.017720627348055,rwls,100.0,rACR,mumps,1.0e-5,0.004091835797635834,0.003295480804761389,1
5,7,0.37064504623413086,48,LOCALLY_SOLVED,45.89091811914641,rwls,100.0,rACR,mumps,1.0e-5,0.004091018483934894,0.0032954355014231207,1
5,8,0.6596629619598389,84,LOCALLY_SOLVED,68.0860755579257,rwls,100.0,rACR,mumps,1.0e-5,0.004091270163512295,0.003295437390326112,1
6,1,2.207418918609619,201,LOCALLY_SOLVED,184.98125562153925,rwls,100.0,rACR,mumps,1.0e-5,0.004091748888789493,0.0032954623454546903,1
6,2,1.0467369556427002,89,LOCALLY_SOLVED,91.75795975658224,rwls,100.0,rACR,mumps,1.0e-5,0.00409101585990479,0.0032954207464158027,1
7,1,1.6928200721740723,139,LOCALLY_SOLVED,116.91237127760577,rwls,100.0,rACR,mumps,1.0e-5,0.004092775462307685,0.003295455431681469,1
7,2,1.224825143814087,121,LOCALLY_SOLVED,97.74079532757385,rwls,100.0,rACR,mumps,1.0e-5,0.004095636670766067,0.00329541298000571,1
7,3,1.134066104888916,107,LOCALLY_SOLVED,86.0167274694135,rwls,100.0,rACR,mumps,1.0e-5,0.004115624064071621,0.003295676689070849,1
7,4,5.123404026031494,358,LOCALLY_SOLVED,287.1655818296288,rwls,100.0,rACR,mumps,1.0e-5,0.004142029010696824,0.003295856015608943,1
7,5,1.3152000904083252,127,LOCALLY_SOLVED,102.49867044945857,rwls,100.0,rACR,mumps,1.0e-5,0.004138473249801988,0.0032968555527420054,1
7,6,0.32501697540283203,29,LOCALLY_SOLVED,45.90242407678278,rwls,100.0,rACR,mumps,1.0e-5,0.00409099982386163,0.003295812863988474,1
7,7,0.35128283500671387,39,LOCALLY_SOLVED,44.41225293259154,rwls,100.0,rACR,mumps,1.0e-5,0.004091325957583436,0.003295455858886721,1
