ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,1.1803779602050781,118,LOCALLY_SOLVED,93.26411268017155,rwlav,1000.0,rACR,mumps,1.0e-5,0.00409185684649338,0.0032953589472080186,1
1,2,0.7295269966125488,67,LOCALLY_SOLVED,57.74015290855774,rwlav,1000.0,rACR,mumps,1.0e-5,0.0040910716623778765,0.0032953910589353,1
1,3,0.9181389808654785,82,LOCALLY_SOLVED,69.55484812220797,rwlav,1000.0,rACR,mumps,1.0e-5,0.004175685435334753,0.003304728105582018,1
1,4,1.6448428630828857,157,LOCALLY_SOLVED,122.89954990177019,rwlav,1000.0,rACR,mumps,1.0e-5,0.004097228662488073,0.003295472398738239,1
2,1,4.631305932998657,364,LOCALLY_SOLVED,270.8906490707276,rwlav,1000.0,rACR,mumps,1.0e-5,0.004093954600081773,0.0032954316839739614,1
2,2,3.815716028213501,283,LOCALLY_SOLVED,222.06591159314203,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091899691800682,0.0032954130009036392,1
2,3,3.538054943084717,232,LOCALLY_SOLVED,177.64352408578276,rwlav,1000.0,rACR,mumps,1.0e-5,0.004096071238298249,0.0032954251631582667,1
2,4,2.9787790775299072,247,LOCALLY_SOLVED,181.97756112665647,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091525770141047,0.0032954145959245163,1
2,5,0.4898519515991211,53,LOCALLY_SOLVED,45.896287761599204,rwlav,1000.0,rACR,mumps,1.0e-5,0.0040915637680509764,0.0032954718480127684,1
3,1,2.0024049282073975,191,LOCALLY_SOLVED,150.98418058628053,rwlav,1000.0,rACR,mumps,1.0e-5,0.004095524998846356,0.0032954589373129497,1
3,2,2.065523862838745,141,LOCALLY_SOLVED,112.60499358006595,rwlav,1000.0,rACR,mumps,1.0e-5,0.004096167322733768,0.0032948971621174356,1
3,3,2.5421981811523438,208,LOCALLY_SOLVED,159.8783971175122,rwlav,1000.0,rACR,mumps,1.0e-5,0.004096348163928454,0.003295503991925756,1
3,4,0.7411408424377441,79,LOCALLY_SOLVED,68.09441034329262,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091111070970266,0.0032954435565978124,1
3,5,0.3614180088043213,44,LOCALLY_SOLVED,42.93636450780394,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091526964365211,0.003295472173327088,1
3,6,0.8524918556213379,103,LOCALLY_SOLVED,84.36650421314764,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091716094265951,0.003295462072139257,1
4,1,0.4928441047668457,54,LOCALLY_SOLVED,47.37120119620067,rwlav,1000.0,rACR,mumps,1.0e-5,0.0040910217874221555,0.0032954300418936502,1
4,2,0.3269960880279541,36,LOCALLY_SOLVED,35.53646520937748,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091100164462347,0.0032954431721033055,1
4,3,0.3514840602874756,40,LOCALLY_SOLVED,37.01510679420608,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091111448986329,0.0032954569680930484,1
4,4,1.92106294631958,180,LOCALLY_SOLVED,136.15695815442348,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091892814835685,0.0032954442965975376,1
4,5,0.4141240119934082,45,LOCALLY_SOLVED,41.45438115676953,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091279590169528,0.0032954127685613276,1
4,6,0.5162429809570312,60,LOCALLY_SOLVED,48.85763144521929,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091916050122046,0.003295477235641524,1
5,1,0.10399508476257324,12,LOCALLY_SOLVED,17.781865626225912,rwlav,1000.0,rACR,mumps,1.0e-5,0.004090992566069485,0.0032954146526929518,1
5,2,0.3587150573730469,40,LOCALLY_SOLVED,38.498495339594236,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091726239375371,0.003295432675742806,1
5,3,7.186754941940308,317,LOCALLY_SOLVED,242.62764386908248,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091723309697759,0.003295427406793315,1
5,4,0.6480109691619873,65,LOCALLY_SOLVED,56.25294383645828,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091167121281325,0.003295434334133594,1
5,5,1.312741994857788,104,LOCALLY_SOLVED,84.48259049403012,rwlav,1000.0,rACR,mumps,1.0e-5,0.004106209186590215,0.003295951539855734,1
5,6,0.3696608543395996,38,LOCALLY_SOLVED,37.017720627348055,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091835797635834,0.003295480804761389,1
5,7,0.40671396255493164,48,LOCALLY_SOLVED,45.89091811914641,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091018483934894,0.0032954355014231207,1
5,8,0.7624568939208984,84,LOCALLY_SOLVED,68.0860755579257,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091270163512295,0.003295437390326112,1
6,1,2.380021095275879,201,LOCALLY_SOLVED,184.98125562153925,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091748888789493,0.0032954623454546903,1
6,2,1.0334479808807373,89,LOCALLY_SOLVED,91.75795975658224,rwlav,1000.0,rACR,mumps,1.0e-5,0.00409101585990479,0.0032954207464158027,1
7,1,1.8964791297912598,139,LOCALLY_SOLVED,116.91237127760577,rwlav,1000.0,rACR,mumps,1.0e-5,0.004092775462307685,0.003295455431681469,1
7,2,1.4027190208435059,121,LOCALLY_SOLVED,97.74079532757385,rwlav,1000.0,rACR,mumps,1.0e-5,0.004095636670766067,0.00329541298000571,1
7,3,1.3070650100708008,107,LOCALLY_SOLVED,86.0167274694135,rwlav,1000.0,rACR,mumps,1.0e-5,0.004115624064071621,0.003295676689070849,1
7,4,5.758382081985474,358,LOCALLY_SOLVED,287.1655818296288,rwlav,1000.0,rACR,mumps,1.0e-5,0.004142029010696824,0.003295856015608943,1
7,5,1.2820110321044922,127,LOCALLY_SOLVED,102.49867044945857,rwlav,1000.0,rACR,mumps,1.0e-5,0.004138473249801988,0.0032968555527420054,1
7,6,0.31682801246643066,29,LOCALLY_SOLVED,45.90242407678278,rwlav,1000.0,rACR,mumps,1.0e-5,0.00409099982386163,0.003295812863988474,1
7,7,0.3375248908996582,39,LOCALLY_SOLVED,44.41225293259154,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091325957583436,0.003295455858886721,1
9,1,1.7779860496520996,172,LOCALLY_SOLVED,137.62555567366806,rwlav,1000.0,rACR,mumps,1.0e-5,0.0040910732001060435,0.0032954393133424473,1
9,2,0.24566197395324707,25,LOCALLY_SOLVED,42.93049416493185,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091001263905936,0.0032954315270972367,1
9,3,0.23520803451538086,24,LOCALLY_SOLVED,41.450725706906645,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091000182429694,0.0032954287907353643,1
9,4,0.2731928825378418,25,LOCALLY_SOLVED,42.93050794653735,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091001143056383,0.003295430872441587,1
9,5,4.103456974029541,252,LOCALLY_SOLVED,195.25144612949123,rwlav,1000.0,rACR,mumps,1.0e-5,0.004126097499547621,0.0032937982030369164,1
9,6,0.2781789302825928,27,LOCALLY_SOLVED,44.40983390107676,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091002094346541,0.003295429592677039,1
10,1,0.30378198623657227,30,LOCALLY_SOLVED,42.93023892964435,rwlav,1000.0,rACR,mumps,1.0e-5,0.00409099948568481,0.003295437644065433,1
10,2,0.13836097717285156,16,LOCALLY_SOLVED,19.26058907836348,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091002239241082,0.0032954322403200426,1
10,3,0.3322279453277588,46,LOCALLY_SOLVED,34.05496679250504,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091025858600661,0.0032954317806611526,1
10,4,0.16546106338500977,23,LOCALLY_SOLVED,22.21910919165921,rwlav,1000.0,rACR,mumps,1.0e-5,0.004090998985857963,0.0032954373946977953,1
10,5,0.19771695137023926,24,LOCALLY_SOLVED,28.136861511980452,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091013235650642,0.0032954278544621574,1
10,6,0.15709495544433594,19,LOCALLY_SOLVED,19.260403223197745,rwlav,1000.0,rACR,mumps,1.0e-5,0.0040910022752964625,0.0032954364428715265,1
11,1,0.43382906913757324,42,LOCALLY_SOLVED,57.72660997826174,rwlav,1000.0,rACR,mumps,1.0e-5,0.0040910191857002065,0.003295422240554771,1
11,2,0.09533500671386719,10,LOCALLY_SOLVED,16.302465647292877,rwlav,1000.0,rACR,mumps,1.0e-5,0.004090999531980222,0.0032956216972008902,1
11,3,0.6334681510925293,65,LOCALLY_SOLVED,60.69212999342393,rwlav,1000.0,rACR,mumps,1.0e-5,0.004091067685659144,0.0032954409603402194,1
