ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,seed
1,1,1.38108491897583,118,LOCALLY_SOLVED,93.26411182101197,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004091853543479518,0.003295359161912827,1
1,2,0.6848640441894531,67,LOCALLY_SOLVED,57.74014765748128,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004091069833112915,0.0032953903896905247,1
1,3,0.8186461925506592,82,LOCALLY_SOLVED,69.55484632543251,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004175685323390299,0.0033047273835885706,1
1,4,1.617215871810913,157,LOCALLY_SOLVED,122.89954313444883,rwlav,1000.0,rIVR,mumps,1.0e-5,0.0040972341626202,0.0032954726718508573,1
2,1,3.6558151245117188,364,LOCALLY_SOLVED,270.8906486063943,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004093956273276023,0.0032954316770625785,1
2,2,3.34591007232666,283,LOCALLY_SOLVED,222.06591143447338,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004091902439278483,0.0032954124817703326,1
2,3,2.2877070903778076,232,LOCALLY_SOLVED,177.6443710666347,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004095999773297665,0.0032954258273208093,1
2,4,2.5668790340423584,247,LOCALLY_SOLVED,181.97756141952237,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004091525613464819,0.0032954146162029276,1
2,5,0.43892693519592285,53,LOCALLY_SOLVED,45.89629388604032,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004091565021151489,0.0032954712803897417,1
3,1,2.078015089035034,191,LOCALLY_SOLVED,150.98418436117666,rwlav,1000.0,rIVR,mumps,1.0e-5,0.00409552389495671,0.0032954590334121534,1
3,2,1.4479248523712158,141,LOCALLY_SOLVED,112.60499530780179,rwlav,1000.0,rIVR,mumps,1.0e-5,0.004096167091173886,0.003294897191011186,1
