meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,par_1,par_2
1,gen,1,G,pg,"[1, 2, 3]",Normal,"[-0.00014893421174918712, -0.00015519167137071596, -0.00012219018591001074]","[0.0003333333333333333, 0.0003333333333333333, 0.0003333333333333333]"
2,gen,1,G,qg,"[1, 2, 3]",Normal,"[-7.381011710511802e-5, -7.470929228020684e-5, -5.825207196275498e-5]","[0.0003333333333333333, 0.0003333333333333333, 0.0003333333333333333]"
3,bus,118,G,vm,"[1, 2, 3]",Normal,"[1.0, 1.0, 1.0]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
4,load,32,G,pd,1,Normal,1.4950270540000002e-5,0.0003333333333333333
5,load,32,G,qd,1,Normal,3.027551203313689e-6,0.0003333333333333333
6,bus,72,G,vm,"[1, 2, 3]",Normal,"[1.0092633578552272, 1.0194504074424435, 1.0132353999779529]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
7,load,29,G,pd,3,Normal,-1.1249729460000001e-5,0.0003333333333333333
8,load,29,G,qd,3,Normal,-5.153396174588216e-6,0.0003333333333333333
9,bus,29,G,vm,"[1, 2, 3]",Normal,"[1.0107675924502462, 1.0144767323294264, 1.0102820697093484]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
10,load,1,G,pd,1,Normal,-1.276972946e-5,0.0003333333333333333
11,load,1,G,qd,1,Normal,-5.628016022466494e-6,0.0003333333333333333
12,bus,81,G,vm,"[1, 2, 3]",Normal,"[1.0145813674478885, 1.0164791078342885, 1.0087182670347397]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
13,load,54,G,pd,1,Normal,-4.54486473e-6,0.0003333333333333333
14,load,54,G,qd,1,Normal,-2.239468195380594e-6,0.0003333333333333333
15,bus,43,G,vm,"[1, 2, 3]",Normal,"[1.0083178917105766, 1.0103564315757667, 1.0066924448773626]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
16,load,2,G,pd,3,Normal,-9.4722971e-6,0.0003333333333333333
17,load,2,G,qd,3,Normal,-4.188225779537729e-6,0.0003333333333333333
18,bus,4,G,vm,"[1, 2, 3]",Normal,"[1.0143895032165393, 1.0181901848494048, 1.0092415597635398]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
19,load,41,G,pd,3,Normal,-9.041013280000001e-6,0.0003333333333333333
20,load,41,G,qd,3,Normal,-4.258641109168677e-6,0.0003333333333333333
21,bus,49,G,vm,"[1, 2, 3]",Normal,"[1.0087662241427249, 1.0116567289338463, 1.0081172705160533]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
